Iter 1: loss=0.07441, precip=1.950, T=5.500
Iter 2: loss=0.06908, precip=1.905, T=5.500
Iter 3: loss=0.06515, precip=1.870, T=5.500
Iter 4: loss=0.06212, precip=1.830, T=5.500
Iter 5: loss=0.05814, precip=1.794, T=5.500
Iter 6: loss=0.05635, precip=1.762, T=5.500
Iter 7: loss=0.05487, precip=1.734, T=5.500
Iter 8: loss=0.05326, precip=1.707, T=5.500
Iter 9: loss=0.05148, precip=1.683, T=5.500
Iter 10: loss=0.04999, precip=1.661, T=5.500
Iter 11: loss=0.04851, precip=1.641, T=5.500
Iter 12: loss=0.04723, precip=1.621, T=5.500
Iter 13: loss=0.04570, precip=1.601, T=5.500
Iter 14: loss=0.04437, precip=1.583, T=5.500
Iter 15: loss=0.04306, precip=1.565, T=5.500
Iter 16: loss=0.04150, precip=1.547, T=5.500
Iter 17: loss=0.03977, precip=1.527, T=5.500
Iter 18: loss=0.03824, precip=1.509, T=5.500
Iter 19: loss=0.03663, precip=1.492, T=5.500
Iter 20: loss=0.03518, precip=1.476, T=5.500
Iter 21: loss=0.03366, precip=1.461, T=5.500
Iter 22: loss=0.03265, precip=1.447, T=5.500
Iter 23: loss=0.03148, precip=1.434, T=5.500
Iter 24: loss=0.03040, precip=1.423, T=5.500
Iter 25: loss=0.02962, precip=1.410, T=5.500
Iter 26: loss=0.02834, precip=1.398, T=5.500
Iter 27: loss=0.02733, precip=1.383, T=5.500
Iter 28: loss=0.02626, precip=1.370, T=5.500
Iter 29: loss=0.02498, precip=1.349, T=5.500
Iter 30: loss=0.02326, precip=1.330, T=5.500
Iter 31: loss=0.02193, precip=1.297, T=5.500
Iter 32: loss=0.01898, precip=1.266, T=5.500
Iter 33: loss=0.01656, precip=1.239, T=5.500
Iter 34: loss=0.01467, precip=1.213, T=5.500
Iter 35: loss=0.01276, precip=1.191, T=5.500
Iter 36: loss=0.01121, precip=1.170, T=5.500
Iter 37: loss=0.00946, precip=1.148, T=5.500
Iter 38: loss=0.00777, precip=1.127, T=5.500
Iter 39: loss=0.00629, precip=1.107, T=5.500
Iter 40: loss=0.00477, precip=1.089, T=5.500
Iter 41: loss=0.00346, precip=1.072, T=5.500
Iter 42: loss=0.00232, precip=1.056, T=5.500
Iter 43: loss=0.00154, precip=1.040, T=5.500
Iter 44: loss=0.00088, precip=1.026, T=5.500
Iter 45: loss=0.00158, precip=1.013, T=5.500
Iter 46: loss=0.00246, precip=1.002, T=5.500
