Iter 1: loss=0.016, precip=2.452, T=8.500
Iter 2: loss=0.013, precip=2.414, T=8.500
Iter 3: loss=0.011, precip=2.375, T=8.500
Iter 4: loss=0.010, precip=2.344, T=8.500
Iter 5: loss=0.008, precip=2.309, T=8.500
Iter 6: loss=0.007, precip=2.280, T=8.500
Iter 7: loss=0.005, precip=2.245, T=8.500
Iter 8: loss=0.003, precip=2.215, T=8.500
Iter 9: loss=0.002, precip=2.188, T=8.500
Iter 10: loss=0.004, precip=2.163, T=8.500
Iter 11: loss=0.005, precip=2.141, T=8.500
Iter 12: loss=0.006, precip=2.142, T=8.500
Iter 13: loss=0.006, precip=2.164, T=8.500
Iter 14: loss=0.005, precip=2.184, T=8.500
Iter 15: loss=0.004, precip=2.202, T=8.500
Iter 16: loss=0.003, precip=2.219, T=8.500
Iter 17: loss=0.002, precip=2.233, T=8.500
Iter 18: loss=0.003, precip=2.247, T=8.500
Iter 19: loss=0.003, precip=2.248, T=8.500
Iter 20: loss=0.003, precip=2.249, T=8.500
Iter 21: loss=0.003, precip=2.250, T=8.500
Iter 22: loss=0.003, precip=2.250, T=8.500
Iter 23: loss=0.003, precip=2.251, T=8.500
Iter 24: loss=0.003, precip=2.250, T=8.500
Iter 25: loss=0.003, precip=2.248, T=8.500
Iter 26: loss=0.003, precip=2.247, T=8.500
Iter 27: loss=0.003, precip=2.246, T=8.500
Iter 28: loss=0.003, precip=2.245, T=8.500
Iter 29: loss=0.003, precip=2.245, T=8.500
Iter 30: loss=0.003, precip=2.243, T=8.500
Iter 31: loss=0.003, precip=2.241, T=8.500
Iter 32: loss=0.003, precip=2.240, T=8.500
Iter 33: loss=0.003, precip=2.238, T=8.500
Iter 34: loss=0.003, precip=2.237, T=8.500
Iter 35: loss=0.003, precip=2.236, T=8.500
Iter 36: loss=0.003, precip=2.235, T=8.500
Iter 37: loss=0.003, precip=2.234, T=8.500
Iter 38: loss=0.003, precip=2.233, T=8.500
Iter 39: loss=0.003, precip=2.232, T=8.500
Iter 40: loss=0.003, precip=2.231, T=8.500
Iter 41: loss=0.003, precip=2.230, T=8.500
Iter 42: loss=0.003, precip=2.229, T=8.500
Iter 43: loss=0.003, precip=2.228, T=8.500
Iter 44: loss=0.003, precip=2.228, T=8.500
Iter 45: loss=0.003, precip=2.227, T=8.500
Iter 46: loss=0.003, precip=2.226, T=8.500
Iter 47: loss=0.003, precip=2.225, T=8.500
Iter 48: loss=0.003, precip=2.225, T=8.500
Iter 49: loss=0.003, precip=2.224, T=8.500
Iter 50: loss=0.002, precip=2.224, T=8.500
Iter 51: loss=0.002, precip=2.223, T=8.500
Iter 52: loss=0.002, precip=2.223, T=8.500
Iter 53: loss=0.002, precip=2.223, T=8.500
Iter 54: loss=0.002, precip=2.223, T=8.500
Iter 55: loss=0.002, precip=2.224, T=8.500
Iter 56: loss=0.002, precip=2.224, T=8.500
Iter 57: loss=0.002, precip=2.225, T=8.500
Iter 58: loss=0.002, precip=2.223, T=8.500
Iter 59: loss=0.002, precip=2.222, T=8.500
Iter 60: loss=0.002, precip=2.217, T=8.500
Iter 61: loss=0.002, precip=2.213, T=8.500
Iter 62: loss=0.002, precip=2.209, T=8.500
Iter 63: loss=0.003, precip=2.206, T=8.500
Iter 64: loss=0.003, precip=2.202, T=8.500
Iter 65: loss=0.003, precip=2.200, T=8.500
Iter 66: loss=0.003, precip=2.197, T=8.500
Iter 67: loss=0.003, precip=2.195, T=8.500
Iter 68: loss=0.003, precip=2.192, T=8.500
Iter 69: loss=0.004, precip=2.190, T=8.500
Iter 70: loss=0.004, precip=2.189, T=8.500
Iter 71: loss=0.004, precip=2.187, T=8.500
Iter 72: loss=0.004, precip=2.186, T=8.500
Iter 73: loss=0.004, precip=2.186, T=8.500
Iter 74: loss=0.004, precip=2.185, T=8.500
Iter 75: loss=0.004, precip=2.183, T=8.500
Iter 76: loss=0.004, precip=2.181, T=8.500
Iter 77: loss=0.004, precip=2.179, T=8.500
Iter 78: loss=0.004, precip=2.177, T=8.500
Iter 79: loss=0.004, precip=2.175, T=8.500
Iter 80: loss=0.004, precip=2.174, T=8.500
Iter 81: loss=0.004, precip=2.172, T=8.500
Iter 82: loss=0.004, precip=2.171, T=8.500
Iter 83: loss=0.004, precip=2.170, T=8.500
Iter 84: loss=0.004, precip=2.170, T=8.500
Iter 85: loss=0.004, precip=2.169, T=8.500
Iter 86: loss=0.004, precip=2.167, T=8.500
Iter 87: loss=0.005, precip=2.165, T=8.500
Iter 88: loss=0.005, precip=2.163, T=8.500
Iter 89: loss=0.005, precip=2.161, T=8.500
Iter 90: loss=0.005, precip=2.179, T=8.500
Iter 91: loss=0.004, precip=2.195, T=8.500
Iter 92: loss=0.003, precip=2.209, T=8.500
Iter 93: loss=0.003, precip=2.223, T=8.500
Iter 94: loss=0.002, precip=2.236, T=8.500
Iter 95: loss=0.003, precip=2.249, T=8.500
Iter 96: loss=0.003, precip=2.260, T=8.500
Iter 97: loss=0.004, precip=2.270, T=8.500
Iter 98: loss=0.005, precip=2.279, T=8.500
Iter 99: loss=0.005, precip=2.286, T=8.500
Iter 100: loss=0.006, precip=2.292, T=8.500
