-628490.0 0.670
-627597.0 0.436
-626800.0 0.276
-626073.0 0.099
-625316.0 -0.043
-624562.0 0.027
-623796.0 0.019
-623054.0 0.049
-622342.0 0.003
-621644.0 0.013
-620950.0 -0.079
-620278.0 -0.078
-619576.0 -0.017
-618904.0 -0.030
-618205.0 -0.102
-617533.0 -0.032
-616895.0 -0.080
-616273.0 -0.149
-615672.0 -0.175
-615060.0 -0.220
-614466.0 -0.172
-613878.0 -0.210
-613310.0 -0.165
-612717.0 -0.210
-612130.0 -0.149
-611541.0 -0.154
-610985.0 -0.148
-610425.0 -0.178
-609854.0 -0.202
-609269.0 -0.162
-608674.0 -0.109
-608079.0 -0.070
-607474.0 -0.022
-606819.0 0.063
-606161.0 0.102
-605507.0 0.139
-604834.0 0.145
-604150.0 0.204
-603474.0 0.247
-602788.0 0.243
-602124.0 0.263
-601487.0 0.248
-600791.0 0.385
-600096.0 0.357
-599400.0 0.409
-598667.0 0.436
-597892.0 0.563
-597190.0 0.603
-596546.0 0.547
-595959.0 0.422
-595401.0 0.276
-594821.0 0.200
-594256.0 0.261
-593666.0 0.306
-593083.0 0.372
-592474.0 0.402
-591862.0 0.456
-591301.0 0.491
-590816.0 0.357
-590337.0 0.139
-589830.0 0.141
-589314.0 0.222
-588778.0 0.304
-588205.0 0.385
-587620.0 0.518
-587034.0 0.607
-586521.0 0.577
-585990.0 0.429
-585485.0 0.517
-584984.0 0.467
-584446.0 0.488
-583928.0 0.630
-583449.0 0.650
-582999.0 0.547
-582592.0 0.462
-582213.0 0.332
-581846.0 0.248
-581507.0 0.230
-581193.0 0.136
-580878.0 0.044
-580598.0 0.078
-580335.0 -0.027
-580084.0 -0.149
-579836.0 -0.205
-579592.0 -0.192
-579352.0 -0.207
-579114.0 -0.201
-578883.0 -0.204
-578645.0 -0.227
-578402.0 -0.164
-578166.0 -0.113
-577932.0 -0.096
-577684.0 -0.079
-577447.0 -0.033
-577214.0 -0.090
-576981.0 -0.096
-576749.0 -0.079
-576523.0 -0.056
-576297.0 -0.111
-576076.0 -0.111
-575861.0 -0.126
-575654.0 -0.155
-575452.0 -0.195
-575244.0 -0.217
-575040.0 -0.162
-574837.0 -0.184
-574631.0 -0.182
-574428.0 -0.156
-574217.0 -0.171
-574016.0 -0.106
-573814.0 -0.174
-573608.0 -0.165
-573392.0 -0.125
-573193.0 -0.050
-572991.0 -0.169
-572790.0 -0.139
-572583.0 -0.154
-572378.0 -0.092
-572178.0 -0.102
-571977.0 -0.142
-571780.0 -0.116
-571585.0 -0.152
-571390.0 -0.161
-571194.0 -0.151
-571001.0 -0.145
-570807.0 -0.155
-570612.0 -0.146
-570419.0 -0.128
-570228.0 -0.144
-570034.0 -0.146
-569845.0 -0.123
-569656.0 -0.155
-569474.0 -0.148
-569285.0 -0.202
-569093.0 -0.145
-568905.0 -0.105
-568716.0 -0.142
-568532.0 -0.131
-568346.0 -0.161
-568161.0 -0.138
-567969.0 -0.152
-567781.0 -0.082
-567602.0 -0.118
-567420.0 -0.184
-567231.0 -0.155
-567047.0 -0.090
-566857.0 -0.152
-566671.0 -0.069
-566484.0 -0.100
-566298.0 -0.088
-566114.0 -0.095
-565933.0 -0.098
-565745.0 -0.125
-565554.0 -0.060
-565365.0 -0.033
-565179.0 -0.042
-564994.0 -0.062
-564815.0 -0.065
-564627.0 0.011
-564432.0 -0.042
-564238.0 -0.001
-564039.0 0.013
-563841.0 0.053
-563636.0 0.044
-563433.0 0.103
-563225.0 0.080
-563015.0 0.119
-562799.0 0.129
-562582.0 0.167
-562357.0 0.172
-562130.0 0.215
-561889.0 0.225
-561649.0 0.307
-561404.0 0.286
-561149.0 0.309
-560890.0 0.359
-560625.0 0.389
-560352.0 0.421
-560077.0 0.428
-559778.0 0.467
-559461.0 0.571
-559133.0 0.613
-558823.0 0.626
-558514.0 0.524
-558214.0 0.454
-557911.0 0.429
-557616.0 0.413
-557308.0 0.352
-557013.0 0.369
-556719.0 0.274
-556411.0 0.245
-556126.0 0.311
-555844.0 0.108
-555563.0 0.085
-555265.0 0.122
-554948.0 0.221
-554604.0 0.290
-554250.0 0.313
-553874.0 0.369
-553481.0 0.419
-553047.0 0.535
-552607.0 0.544
-552129.0 0.637
-551673.0 0.571
-551208.0 0.543
-550761.0 0.442
-550322.0 0.409
-549855.0 0.522
-549348.0 0.619
-548818.0 0.675
-548280.0 0.670
-547746.0 0.620
-547202.0 0.670
-546604.0 0.777
-545985.0 0.810
-545367.0 0.807
-544758.0 0.808
-544149.0 0.738
-543554.0 0.696
-542964.0 0.680
-542381.0 0.660
-541788.0 0.686
-541188.0 0.708
-540589.0 0.725
-539991.0 0.712
-539391.0 0.726
-538784.0 0.756
-538194.0 0.722
-537652.0 0.570
-537113.0 0.611
-536575.0 0.620
-536044.0 0.611
-535508.0 0.645
-534994.0 0.594
-534459.0 0.675
-533926.0 0.680
-533375.0 0.748
-532841.0 0.715
-532302.0 0.748
-531795.0 0.663
-531284.0 0.693
-530804.0 0.610
-530357.0 0.512
-529939.0 0.421
-529534.0 0.385
-529157.0 0.287
-528783.0 0.278
-528422.0 0.235
-528056.0 0.260
-527683.0 0.299
-527299.0 0.345
-526935.0 0.276
-526559.0 0.333
-526184.0 0.339
-525808.0 0.349
-525452.0 0.307
-525099.0 0.266
-524728.0 0.336
-524375.0 0.257
-524022.0 0.289
-523675.0 0.258
-523321.0 0.303
-522969.0 0.294
-522610.0 0.336
-522290.0 0.155
-521978.0 0.129
-521664.0 0.139
-521353.0 0.129
-521027.0 0.207
-520726.0 0.089
-520416.0 0.136
-520111.0 0.179
-519804.0 0.131
-519495.0 0.141
-519193.0 0.105
-518885.0 0.136
-518578.0 0.139
-518267.0 0.156
-517960.0 0.138
-517637.0 0.217
-517329.0 0.145
-516998.0 0.256
-516666.0 0.260
-516329.0 0.284
-516006.0 0.217
-515681.0 0.227
-515343.0 0.281
-514989.0 0.356
-514633.0 0.359
-514282.0 0.336
-513933.0 0.326
-513563.0 0.413
-513185.0 0.448
-512809.0 0.429
-512432.0 0.435
-512049.0 0.449
-511658.0 0.482
-511267.0 0.478
-510876.0 0.468
-510487.0 0.455
-510100.0 0.438
-509704.0 0.471
-509308.0 0.464
-508902.0 0.494
-508493.0 0.502
-508120.0 0.345
-507758.0 0.294
-507396.0 0.290
-507027.0 0.306
-506654.0 0.316
-506271.0 0.346
-505875.0 0.389
-505474.0 0.405
-505080.0 0.365
-504708.0 0.273
-504346.0 0.215
-503968.0 0.281
-503596.0 0.245
-503217.0 0.268
-502832.0 0.280
-502446.0 0.277
-502067.0 0.238
-501663.0 0.332
-501269.0 0.280
-500875.0 0.274
-500482.0 0.260
-500090.0 0.251
-499694.0 0.258
-499316.0 0.175
-498934.0 0.182
-498545.0 0.205
-498157.0 0.191
-497762.0 0.211
-497376.0 0.167
-496978.0 0.211
-496584.0 0.184
-496190.0 0.178
-495800.0 0.155
-495401.0 0.185
-495001.0 0.184
-494600.0 0.184
-494208.0 0.179
-493802.0 0.205
-493416.0 0.105
-493022.0 0.144
-492628.0 0.132
-492234.0 0.132
-491845.0 0.108
-491456.0 0.108
-491076.0 0.076
-490701.0 0.044
-490338.0 -0.009
-489978.0 -0.027
-489620.0 -0.036
-489256.0 -0.016
-488889.0 0.001
-488555.0 -0.164
-488185.0 0.010
-487817.0 -0.014
-487444.0 0.009
-487062.0 0.036
-486679.0 0.037
-486279.0 0.103
-485870.0 0.132
-485462.0 0.128
-485051.0 0.135
-484635.0 0.149
-484225.0 0.123
-483798.0 0.181
-483371.0 0.178
-482928.0 0.237
-482489.0 0.211
-482035.0 0.264
-481571.0 0.291
-481081.0 0.350
-480605.0 0.324
-480119.0 0.352
-479623.0 0.380
-479099.0 0.464
-478562.0 0.500
-478062.0 0.386
-477586.0 0.307
-477138.0 0.208
-476679.0 0.243
-476200.0 0.303
-475696.0 0.372
-475160.0 0.467
-474576.0 0.630
-473970.0 0.647
-473409.0 0.527
-472880.0 0.431
-472392.0 0.304
-471934.0 0.215
-471435.0 0.334
-470916.0 0.385
-470337.0 0.545
-469706.0 0.683
-469115.0 0.570
-468461.0 0.729
-467740.0 0.881
-467058.0 0.794
-466367.0 0.814
-465657.0 0.861
-464951.0 0.853
-464257.0 0.801
-463620.0 0.739
-462970.0 0.736
-462350.0 0.667
-461713.0 0.711
-461031.0 0.824
-460344.0 0.838
-459652.0 0.857
-458942.0 0.904
-458216.0 0.909
-457519.0 0.890
-456813.0 0.922
-456156.0 0.820
-455550.0 0.702
-454969.0 0.647
-454400.0 0.619
-453816.0 0.551
-453229.0 0.680
-452613.0 0.774
-452042.0 0.656
-451492.0 0.603
-450881.0 0.778
-450288.0 0.739
-449719.0 0.683
-449151.0 0.686
-448573.0 0.729
-448047.0 0.583
-447536.0 0.548
-447034.0 0.524
-446471.0 0.715
-445900.0 0.739
-445342.0 0.711
-444785.0 0.711
-444216.0 0.756
-443682.0 0.667
-443120.0 0.777
-442535.0 0.850
-441954.0 0.837
-441388.0 0.894
-440798.0 0.943
-440206.0 0.939
-439625.0 0.955
-439039.0 0.960
-438423.0 0.904
-437827.0 1.000
-437267.0 0.969
-436726.0 1.000
-436141.0 0.920
-435592.0 0.794
-435023.0 0.860
-434472.0 0.814
-433969.0 0.873
-433425.0 0.807
