ID;xstart;ystart;xend;yend
3692;526978.2715;5289453.613;526830.7495;5289625.977
3695;527492.2485;5288826.172;527497.0093;5289052.734
3696;527489.8071;5288222.168;527377.8687;5288797.363
3697;526990.1123;5287886.231;526857.605;5288090.332
3698;527118.8354;5288016.113;527136.2915;5288501.465
3699;527192.1387;5287136.231;526958.6182;5287513.184
3700;527744.2017;5287754.883;527685.8521;5288141.602
3701;527724.1211;5287508.301;527590.9424;5287770.996
3702;528084.7778;5287299.316;527910.2783;5287763.672
3703;527282.4707;5285928.711;526908.8745;5286084.961
3704;527748.6572;5285690.43;527525.8789;5285866.699
3705;528527.2217;5285563.477;528329.6509;5285719.727
3706;528398.3765;5285082.52;528106.0181;5285271.484
3707;527880.0049;5287013.184;527550.4761;5287301.758
3708;527551.1475;5286963.867;527466.1865;5287229.492
3709;527627.0752;5286385.742;527322.6318;5286763.184
3710;527914.917;5286265.137;527775.4517;5286646.484
3711;532739.7461;5280278.809;532364.2578;5281762.207
3712;532159.9731;5281436.523;531866.7603;5282389.648
3713;532173.8892;5279279.297;531544.6777;5280386.231
3714;531196.8384;5283837.891;531249.3286;5284324.707
3715;532253.6011;5284107.422;532682.8613;5285158.203
3716;532139.1602;5284242.676;532229.6753;5284788.086
3717;532738.7695;5285026.856;532826.355;5285264.648
3718;532861.3892;5284964.356;532968.75;5285260.742
3719;534388.3667;5280623.535;534361.145;5280916.016
3720;534614.2578;5280636.231;534586.3647;5281086.914
3721;535719.8486;5284361.328;535731.0181;5284631.348
3722;535999.3896;5284226.074;536046.814;5284695.313
3723;535740.1123;5285524.902;535954.9561;5285874.023
3724;536046.2036;5285888.672;536152.4658;5286051.758
3725;536450.8057;5285012.695;536502.3804;5285370.117
3726;535507.3853;5284781.738;535613.1592;5285674.316
3727;534951.5381;5283611.816;534987.854;5283990.234
3728;535325.8667;5284020.996;535393.4937;5284333.496
3729;535156.25;5284394.531;535117.3096;5284696.289
3730;535521.6064;5282416.992;535673.645;5282586.426
3731;535652.0386;5282941.895;535733.0322;5283129.883
3732;535623.0469;5283074.219;535678.2227;5283343.262
3733;536115.0513;5283579.59;536129.0283;5284058.594
3734;535732.2388;5283595.215;535788.9404;5283920.41
3735;536413.0249;5284165.527;536415.1001;5284474.609
3736;536777.8931;5284280.273;536848.2666;5284757.813
3737;537524.9634;5284119.629;537581.9702;5284388.672
3738;537732.2388;5284832.52;537935.6079;5285657.715
3739;537959.1675;5286219.727;538066.2842;5286701.172
3740;537475.5859;5285689.453;537668.457;5286361.816
3741;537133.5449;5285091.309;537254.5776;5285654.785
3742;537488.6475;5284580.078;537619.1406;5285489.746
3743;536684.5093;5283525.391;536776.3062;5283783.203
3744;537216.0645;5283242.676;537470.0317;5284002.93
3745;537345.8862;5282291.504;537505.7373;5283106.934
3746;537031.8604;5282396.973;537087.2192;5282917.481
