Iter 1: loss=0.051, precip=1.500, T=5.042
Iter 2: loss=0.049, precip=1.500, T=5.079
Iter 3: loss=0.046, precip=1.500, T=5.113
Iter 4: loss=0.045, precip=1.500, T=5.152
Iter 5: loss=0.044, precip=1.500, T=5.186
Iter 6: loss=0.043, precip=1.500, T=5.225
Iter 7: loss=0.042, precip=1.500, T=5.265
Iter 8: loss=0.041, precip=1.500, T=5.300
Iter 9: loss=0.040, precip=1.500, T=5.339
Iter 10: loss=0.040, precip=1.500, T=5.375
Iter 11: loss=0.039, precip=1.500, T=5.408
Iter 12: loss=0.038, precip=1.500, T=5.439
Iter 13: loss=0.037, precip=1.500, T=5.467
Iter 14: loss=0.037, precip=1.500, T=5.492
Iter 15: loss=0.036, precip=1.500, T=5.515
Iter 16: loss=0.035, precip=1.500, T=5.540
Iter 17: loss=0.035, precip=1.500, T=5.563
Iter 18: loss=0.034, precip=1.500, T=5.595
Iter 19: loss=0.033, precip=1.500, T=5.630
Iter 20: loss=0.033, precip=1.500, T=5.663
Iter 21: loss=0.032, precip=1.500, T=5.697
Iter 22: loss=0.031, precip=1.500, T=5.727
Iter 23: loss=0.030, precip=1.500, T=5.755
Iter 24: loss=0.030, precip=1.500, T=5.781
Iter 25: loss=0.029, precip=1.500, T=5.804
Iter 26: loss=0.029, precip=1.500, T=5.828
Iter 27: loss=0.028, precip=1.500, T=5.851
Iter 28: loss=0.027, precip=1.500, T=5.871
Iter 29: loss=0.027, precip=1.500, T=5.891
Iter 30: loss=0.027, precip=1.500, T=5.909
Iter 31: loss=0.026, precip=1.500, T=5.927
Iter 32: loss=0.026, precip=1.500, T=5.944
Iter 33: loss=0.025, precip=1.500, T=5.959
Iter 34: loss=0.025, precip=1.500, T=5.975
Iter 35: loss=0.024, precip=1.500, T=5.996
Iter 36: loss=0.024, precip=1.500, T=6.032
Iter 37: loss=0.023, precip=1.500, T=6.066
Iter 38: loss=0.022, precip=1.500, T=6.097
Iter 39: loss=0.022, precip=1.500, T=6.126
Iter 40: loss=0.021, precip=1.500, T=6.152
Iter 41: loss=0.020, precip=1.500, T=6.176
Iter 42: loss=0.019, precip=1.500, T=6.198
Iter 43: loss=0.019, precip=1.500, T=6.220
Iter 44: loss=0.018, precip=1.500, T=6.239
Iter 45: loss=0.018, precip=1.500, T=6.258
Iter 46: loss=0.018, precip=1.500, T=6.274
Iter 47: loss=0.017, precip=1.500, T=6.289
Iter 48: loss=0.017, precip=1.500, T=6.303
Iter 49: loss=0.016, precip=1.500, T=6.316
Iter 50: loss=0.016, precip=1.500, T=6.335
Iter 51: loss=0.016, precip=1.500, T=6.352
Iter 52: loss=0.015, precip=1.500, T=6.368
Iter 53: loss=0.015, precip=1.500, T=6.382
Iter 54: loss=0.015, precip=1.500, T=6.395
Iter 55: loss=0.014, precip=1.500, T=6.408
Iter 56: loss=0.014, precip=1.500, T=6.420
Iter 57: loss=0.014, precip=1.500, T=6.431
Iter 58: loss=0.014, precip=1.500, T=6.441
Iter 59: loss=0.013, precip=1.500, T=6.450
Iter 60: loss=0.013, precip=1.500, T=6.458
Iter 61: loss=0.013, precip=1.500, T=6.467
Iter 62: loss=0.013, precip=1.500, T=6.474
Iter 63: loss=0.013, precip=1.500, T=6.481
Iter 64: loss=0.013, precip=1.500, T=6.487
Iter 65: loss=0.012, precip=1.500, T=6.493
Iter 66: loss=0.012, precip=1.500, T=6.505
Iter 67: loss=0.012, precip=1.500, T=6.517
Iter 68: loss=0.012, precip=1.500, T=6.529
Iter 69: loss=0.011, precip=1.500, T=6.539
Iter 70: loss=0.011, precip=1.500, T=6.559
Iter 71: loss=0.011, precip=1.500, T=6.577
Iter 72: loss=0.010, precip=1.500, T=6.593
Iter 73: loss=0.010, precip=1.500, T=6.608
Iter 74: loss=0.010, precip=1.500, T=6.621
Iter 75: loss=0.009, precip=1.500, T=6.635
Iter 76: loss=0.009, precip=1.500, T=6.648
Iter 77: loss=0.009, precip=1.500, T=6.659
Iter 78: loss=0.008, precip=1.500, T=6.670
Iter 79: loss=0.008, precip=1.500, T=6.679
Iter 80: loss=0.008, precip=1.500, T=6.688
Iter 81: loss=0.008, precip=1.500, T=6.696
Iter 82: loss=0.008, precip=1.500, T=6.703
Iter 83: loss=0.007, precip=1.500, T=6.710
Iter 84: loss=0.007, precip=1.500, T=6.716
Iter 85: loss=0.007, precip=1.500, T=6.721
Iter 86: loss=0.007, precip=1.500, T=6.726
Iter 87: loss=0.007, precip=1.500, T=6.731
Iter 88: loss=0.007, precip=1.500, T=6.735
Iter 89: loss=0.007, precip=1.500, T=6.740
Iter 90: loss=0.006, precip=1.500, T=6.744
Iter 91: loss=0.006, precip=1.500, T=6.748
Iter 92: loss=0.006, precip=1.500, T=6.753
Iter 93: loss=0.006, precip=1.500, T=6.762
Iter 94: loss=0.006, precip=1.500, T=6.771
Iter 95: loss=0.006, precip=1.500, T=6.783
Iter 96: loss=0.005, precip=1.500, T=6.795
Iter 97: loss=0.005, precip=1.500, T=6.810
Iter 98: loss=0.005, precip=1.500, T=6.824
Iter 99: loss=0.004, precip=1.500, T=6.845
Iter 100: loss=0.004, precip=1.500, T=6.865
Iter 101: loss=0.003, precip=1.500, T=6.883
Iter 102: loss=0.003, precip=1.500, T=6.900
Iter 103: loss=0.002, precip=1.500, T=6.917
Iter 104: loss=0.002, precip=1.500, T=6.933
Iter 105: loss=0.002, precip=1.500, T=6.948
