Iter 1: loss=0.030, precip=1.500, T=8.000
Iter 2: loss=0.030, precip=1.500, T=8.000
Iter 3: loss=0.030, precip=1.500, T=8.000
Iter 4: loss=0.030, precip=1.500, T=8.000
Iter 5: loss=0.030, precip=1.500, T=8.000
Iter 6: loss=0.030, precip=1.500, T=8.000
Iter 7: loss=0.030, precip=1.500, T=8.000
Iter 8: loss=0.030, precip=1.500, T=8.000
Iter 9: loss=0.030, precip=1.500, T=8.000
Iter 10: loss=0.030, precip=1.500, T=8.000
Iter 11: loss=0.030, precip=1.500, T=8.000
Iter 12: loss=0.030, precip=1.500, T=8.000
Iter 13: loss=0.030, precip=1.500, T=8.000
Iter 14: loss=0.030, precip=1.500, T=8.000
Iter 15: loss=0.030, precip=1.500, T=8.000
Iter 16: loss=0.030, precip=1.500, T=8.000
Iter 17: loss=0.030, precip=1.500, T=8.000
Iter 18: loss=0.030, precip=1.500, T=8.000
Iter 19: loss=0.030, precip=1.500, T=8.000
Iter 20: loss=0.030, precip=1.500, T=8.000
Iter 21: loss=0.030, precip=1.500, T=8.000
Iter 22: loss=0.030, precip=1.500, T=8.000
Iter 23: loss=0.030, precip=1.500, T=8.000
Iter 24: loss=0.030, precip=1.500, T=8.000
Iter 25: loss=0.030, precip=1.500, T=8.000
Iter 26: loss=0.030, precip=1.500, T=8.000
Iter 27: loss=0.030, precip=1.500, T=8.000
Iter 28: loss=0.030, precip=1.500, T=8.000
Iter 29: loss=0.030, precip=1.500, T=8.000
Iter 30: loss=0.030, precip=1.500, T=8.000
Iter 31: loss=0.030, precip=1.500, T=8.000
Iter 32: loss=0.030, precip=1.500, T=8.000
Iter 33: loss=0.030, precip=1.500, T=8.000
Iter 34: loss=0.030, precip=1.500, T=8.000
Iter 35: loss=0.030, precip=1.500, T=8.000
Iter 36: loss=0.030, precip=1.500, T=8.000
Iter 37: loss=0.030, precip=1.500, T=8.000
Iter 38: loss=0.030, precip=1.500, T=8.000
Iter 39: loss=0.030, precip=1.500, T=8.000
Iter 40: loss=0.030, precip=1.500, T=8.000
Iter 41: loss=0.030, precip=1.500, T=8.000
Iter 42: loss=0.030, precip=1.500, T=8.000
Iter 43: loss=0.030, precip=1.500, T=8.000
Iter 44: loss=0.030, precip=1.500, T=8.000
Iter 45: loss=0.030, precip=1.500, T=8.000
Iter 46: loss=0.030, precip=1.500, T=8.000
Iter 47: loss=0.030, precip=1.500, T=8.000
Iter 48: loss=0.030, precip=1.500, T=8.000
Iter 49: loss=0.030, precip=1.500, T=8.000
Iter 50: loss=0.030, precip=1.500, T=8.000
Iter 51: loss=0.030, precip=1.500, T=8.000
Iter 52: loss=0.030, precip=1.500, T=8.000
Iter 53: loss=0.030, precip=1.500, T=8.000
Iter 54: loss=0.030, precip=1.500, T=8.000
Iter 55: loss=0.030, precip=1.500, T=8.000
Iter 56: loss=0.030, precip=1.500, T=8.000
Iter 57: loss=0.030, precip=1.500, T=8.000
Iter 58: loss=0.030, precip=1.500, T=8.000
Iter 59: loss=0.030, precip=1.500, T=8.000
Iter 60: loss=0.030, precip=1.500, T=8.000
Iter 61: loss=0.030, precip=1.500, T=8.000
Iter 62: loss=0.030, precip=1.500, T=8.000
Iter 63: loss=0.030, precip=1.500, T=8.000
Iter 64: loss=0.030, precip=1.500, T=8.000
Iter 65: loss=0.030, precip=1.500, T=8.000
Iter 66: loss=0.030, precip=1.500, T=8.000
Iter 67: loss=0.030, precip=1.500, T=8.000
Iter 68: loss=0.030, precip=1.500, T=8.000
Iter 69: loss=0.030, precip=1.500, T=8.000
Iter 70: loss=0.030, precip=1.500, T=8.000
Iter 71: loss=0.030, precip=1.500, T=8.000
Iter 72: loss=0.030, precip=1.500, T=8.000
Iter 73: loss=0.030, precip=1.500, T=8.000
Iter 74: loss=0.030, precip=1.500, T=8.000
Iter 75: loss=0.030, precip=1.500, T=8.000
Iter 76: loss=0.030, precip=1.500, T=8.000
Iter 77: loss=0.030, precip=1.500, T=8.000
Iter 78: loss=0.030, precip=1.500, T=8.000
Iter 79: loss=0.030, precip=1.500, T=8.000
Iter 80: loss=0.030, precip=1.500, T=8.000
Iter 81: loss=0.030, precip=1.500, T=8.000
Iter 82: loss=0.030, precip=1.500, T=8.000
Iter 83: loss=0.030, precip=1.500, T=8.000
Iter 84: loss=0.030, precip=1.500, T=8.000
Iter 85: loss=0.030, precip=1.500, T=8.000
Iter 86: loss=0.030, precip=1.500, T=8.000
Iter 87: loss=0.030, precip=1.500, T=8.000
Iter 88: loss=0.030, precip=1.500, T=8.000
Iter 89: loss=0.030, precip=1.500, T=8.000
Iter 90: loss=0.030, precip=1.500, T=8.000
Iter 91: loss=0.030, precip=1.500, T=8.000
Iter 92: loss=0.030, precip=1.500, T=8.000
Iter 93: loss=0.030, precip=1.500, T=8.000
Iter 94: loss=0.030, precip=1.500, T=8.000
Iter 95: loss=0.030, precip=1.500, T=8.000
Iter 96: loss=0.030, precip=1.500, T=8.000
Iter 97: loss=0.030, precip=1.500, T=8.000
Iter 98: loss=0.030, precip=1.500, T=8.000
Iter 99: loss=0.030, precip=1.500, T=8.000
Iter 100: loss=0.030, precip=1.500, T=8.000
