Iter 1: loss=0.085, precip=2.450, T=6.050
Iter 2: loss=0.078, precip=2.401, T=6.094
Iter 3: loss=0.072, precip=2.356, T=6.137
Iter 4: loss=0.069, precip=2.314, T=6.179
Iter 5: loss=0.067, precip=2.278, T=6.215
Iter 6: loss=0.066, precip=2.246, T=6.247
Iter 7: loss=0.064, precip=2.214, T=6.280
Iter 8: loss=0.063, precip=2.180, T=6.315
Iter 9: loss=0.061, precip=2.146, T=6.350
Iter 10: loss=0.058, precip=2.115, T=6.381
Iter 11: loss=0.056, precip=2.087, T=6.409
Iter 12: loss=0.055, precip=2.062, T=6.434
Iter 13: loss=0.053, precip=2.033, T=6.464
Iter 14: loss=0.051, precip=2.006, T=6.491
Iter 15: loss=0.049, precip=1.982, T=6.515
Iter 16: loss=0.046, precip=1.960, T=6.537
Iter 17: loss=0.044, precip=1.929, T=6.568
Iter 18: loss=0.041, precip=1.901, T=6.597
Iter 19: loss=0.038, precip=1.873, T=6.624
Iter 20: loss=0.035, precip=1.844, T=6.651
Iter 21: loss=0.032, precip=1.809, T=6.685
Iter 22: loss=0.029, precip=1.775, T=6.716
Iter 23: loss=0.026, precip=1.742, T=6.748
Iter 24: loss=0.022, precip=1.711, T=6.777
Iter 25: loss=0.019, precip=1.682, T=6.805
Iter 26: loss=0.016, precip=1.655, T=6.831
Iter 27: loss=0.014, precip=1.631, T=6.854
Iter 28: loss=0.012, precip=1.607, T=6.876
Iter 29: loss=0.010, precip=1.586, T=6.896
Iter 30: loss=0.008, precip=1.566, T=6.914
Iter 31: loss=0.006, precip=1.533, T=6.947
Iter 32: loss=0.003, precip=1.502, T=6.978
