Iter 1: loss=0.145, precip=2.450, T=5.050
Iter 2: loss=0.139, precip=2.400, T=5.090
Iter 3: loss=0.133, precip=2.356, T=5.130
Iter 4: loss=0.128, precip=2.310, T=5.172
Iter 5: loss=0.123, precip=2.267, T=5.211
Iter 6: loss=0.118, precip=2.224, T=5.247
Iter 7: loss=0.113, precip=2.180, T=5.283
Iter 8: loss=0.108, precip=2.142, T=5.315
Iter 9: loss=0.103, precip=2.100, T=5.351
Iter 10: loss=0.097, precip=2.057, T=5.391
Iter 11: loss=0.090, precip=2.012, T=5.432
Iter 12: loss=0.081, precip=1.970, T=5.471
Iter 13: loss=0.073, precip=1.925, T=5.513
Iter 14: loss=0.066, precip=1.881, T=5.555
Iter 15: loss=0.060, precip=1.840, T=5.594
Iter 16: loss=0.057, precip=1.800, T=5.630
Iter 17: loss=0.055, precip=1.763, T=5.663
Iter 18: loss=0.052, precip=1.729, T=5.693
Iter 19: loss=0.049, precip=1.698, T=5.721
Iter 20: loss=0.046, precip=1.668, T=5.747
Iter 21: loss=0.044, precip=1.637, T=5.773
Iter 22: loss=0.041, precip=1.609, T=5.797
Iter 23: loss=0.037, precip=1.583, T=5.819
Iter 24: loss=0.035, precip=1.559, T=5.839
Iter 25: loss=0.033, precip=1.538, T=5.857
Iter 26: loss=0.030, precip=1.518, T=5.874
Iter 27: loss=0.028, precip=1.493, T=5.894
Iter 28: loss=0.026, precip=1.467, T=5.913
Iter 29: loss=0.023, precip=1.442, T=5.932
Iter 30: loss=0.021, precip=1.416, T=5.951
Iter 31: loss=0.019, precip=1.393, T=5.969
Iter 32: loss=0.016, precip=1.371, T=5.984
Iter 33: loss=0.015, precip=1.352, T=5.999
Iter 34: loss=0.013, precip=1.331, T=6.013
Iter 35: loss=0.011, precip=1.312, T=6.027
Iter 36: loss=0.010, precip=1.290, T=6.042
Iter 37: loss=0.008, precip=1.254, T=6.075
Iter 38: loss=0.004, precip=1.221, T=6.105
Iter 39: loss=0.002, precip=1.189, T=6.133
Iter 40: loss=0.001, precip=1.163, T=6.157
Iter 41: loss=0.004, precip=1.141, T=6.178
Iter 42: loss=0.006, precip=1.121, T=6.197
