Iter 1: loss=0.058, precip=1.950, T=6.050
Iter 2: loss=0.055, precip=1.909, T=6.090
Iter 3: loss=0.052, precip=1.878, T=6.121
Iter 4: loss=0.049, precip=1.843, T=6.151
Iter 5: loss=0.046, precip=1.806, T=6.187
Iter 6: loss=0.043, precip=1.769, T=6.223
Iter 7: loss=0.039, precip=1.732, T=6.260
Iter 8: loss=0.035, precip=1.695, T=6.297
Iter 9: loss=0.031, precip=1.654, T=6.338
Iter 10: loss=0.027, precip=1.617, T=6.375
Iter 11: loss=0.023, precip=1.577, T=6.415
Iter 12: loss=0.019, precip=1.541, T=6.451
Iter 13: loss=0.016, precip=1.507, T=6.485
Iter 14: loss=0.013, precip=1.476, T=6.516
Iter 15: loss=0.010, precip=1.448, T=6.544
Iter 16: loss=0.008, precip=1.423, T=6.569
Iter 17: loss=0.005, precip=1.400, T=6.592
Iter 18: loss=0.003, precip=1.379, T=6.613
Iter 19: loss=0.001, precip=1.352, T=6.640
