Iter 1: loss=0.067, precip=0.250, T=4.950
Iter 2: loss=0.059, precip=0.284, T=4.916
Iter 3: loss=0.056, precip=0.312, T=4.888
Iter 4: loss=0.054, precip=0.345, T=4.855
Iter 5: loss=0.050, precip=0.378, T=4.822
Iter 6: loss=0.047, precip=0.406, T=4.794
Iter 7: loss=0.043, precip=0.430, T=4.770
Iter 8: loss=0.040, precip=0.452, T=4.748
Iter 9: loss=0.038, precip=0.479, T=4.721
Iter 10: loss=0.035, precip=0.506, T=4.693
Iter 11: loss=0.032, precip=0.530, T=4.669
Iter 12: loss=0.030, precip=0.561, T=4.638
Iter 13: loss=0.027, precip=0.589, T=4.610
Iter 14: loss=0.024, precip=0.614, T=4.585
Iter 15: loss=0.022, precip=0.637, T=4.562
Iter 16: loss=0.020, precip=0.660, T=4.539
Iter 17: loss=0.017, precip=0.683, T=4.514
Iter 18: loss=0.015, precip=0.705, T=4.490
Iter 19: loss=0.012, precip=0.737, T=4.458
Iter 20: loss=0.009, precip=0.767, T=4.428
Iter 21: loss=0.007, precip=0.794, T=4.401
Iter 22: loss=0.004, precip=0.822, T=4.372
Iter 23: loss=0.001, precip=0.845, T=4.349
Iter 24: loss=0.002, precip=0.865, T=4.329
Iter 25: loss=0.004, precip=0.882, T=4.313
