Iter 1: loss=0.196, precip=0.250, T=8.950
Iter 2: loss=0.185, precip=0.287, T=8.913
Iter 3: loss=0.176, precip=0.325, T=8.873
Iter 4: loss=0.170, precip=0.361, T=8.835
Iter 5: loss=0.163, precip=0.392, T=8.801
Iter 6: loss=0.158, precip=0.423, T=8.766
Iter 7: loss=0.151, precip=0.450, T=8.734
Iter 8: loss=0.146, precip=0.477, T=8.702
Iter 9: loss=0.142, precip=0.502, T=8.673
Iter 10: loss=0.138, precip=0.523, T=8.647
Iter 11: loss=0.134, precip=0.550, T=8.615
Iter 12: loss=0.130, precip=0.578, T=8.582
Iter 13: loss=0.125, precip=0.603, T=8.552
Iter 14: loss=0.121, precip=0.626, T=8.524
Iter 15: loss=0.117, precip=0.649, T=8.496
Iter 16: loss=0.113, precip=0.670, T=8.469
Iter 17: loss=0.108, precip=0.690, T=8.445
Iter 18: loss=0.104, precip=0.709, T=8.420
Iter 19: loss=0.100, precip=0.727, T=8.398
Iter 20: loss=0.097, precip=0.745, T=8.374
Iter 21: loss=0.094, precip=0.762, T=8.352
Iter 22: loss=0.091, precip=0.777, T=8.332
Iter 23: loss=0.089, precip=0.791, T=8.314
Iter 24: loss=0.087, precip=0.804, T=8.298
Iter 25: loss=0.085, precip=0.816, T=8.282
Iter 26: loss=0.084, precip=0.827, T=8.268
Iter 27: loss=0.082, precip=0.836, T=8.255
Iter 28: loss=0.081, precip=0.851, T=8.236
Iter 29: loss=0.079, precip=0.864, T=8.219
Iter 30: loss=0.077, precip=0.877, T=8.201
Iter 31: loss=0.075, precip=0.890, T=8.184
Iter 32: loss=0.074, precip=0.909, T=8.159
Iter 33: loss=0.071, precip=0.927, T=8.136
Iter 34: loss=0.069, precip=0.943, T=8.114
Iter 35: loss=0.068, precip=0.958, T=8.094
Iter 36: loss=0.066, precip=0.980, T=8.063
Iter 37: loss=0.063, precip=1.001, T=8.034
Iter 38: loss=0.061, precip=1.019, T=8.008
Iter 39: loss=0.058, precip=1.036, T=7.984
Iter 40: loss=0.056, precip=1.056, T=7.956
Iter 41: loss=0.054, precip=1.093, T=7.915
Iter 42: loss=0.049, precip=1.127, T=7.878
Iter 43: loss=0.046, precip=1.158, T=7.845
Iter 44: loss=0.042, precip=1.187, T=7.813
Iter 45: loss=0.039, precip=1.213, T=7.784
Iter 46: loss=0.036, precip=1.238, T=7.757
Iter 47: loss=0.034, precip=1.260, T=7.732
Iter 48: loss=0.032, precip=1.281, T=7.709
Iter 49: loss=0.030, precip=1.300, T=7.688
Iter 50: loss=0.029, precip=1.318, T=7.669
Iter 51: loss=0.027, precip=1.334, T=7.651
Iter 52: loss=0.026, precip=1.348, T=7.636
Iter 53: loss=0.025, precip=1.361, T=7.621
Iter 54: loss=0.023, precip=1.373, T=7.608
Iter 55: loss=0.023, precip=1.384, T=7.595
Iter 56: loss=0.022, precip=1.395, T=7.584
Iter 57: loss=0.021, precip=1.417, T=7.559
Iter 58: loss=0.018, precip=1.437, T=7.536
Iter 59: loss=0.016, precip=1.455, T=7.515
Iter 60: loss=0.015, precip=1.471, T=7.496
Iter 61: loss=0.013, precip=1.487, T=7.478
Iter 62: loss=0.012, precip=1.500, T=7.462
Iter 63: loss=0.011, precip=1.513, T=7.448
Iter 64: loss=0.010, precip=1.524, T=7.435
Iter 65: loss=0.009, precip=1.535, T=7.423
Iter 66: loss=0.008, precip=1.544, T=7.412
Iter 67: loss=0.007, precip=1.553, T=7.403
Iter 68: loss=0.007, precip=1.560, T=7.394
Iter 69: loss=0.006, precip=1.569, T=7.384
Iter 70: loss=0.005, precip=1.577, T=7.374
Iter 71: loss=0.005, precip=1.586, T=7.364
Iter 72: loss=0.004, precip=1.594, T=7.355
Iter 73: loss=0.003, precip=1.601, T=7.346
Iter 74: loss=0.002, precip=1.609, T=7.337
Iter 75: loss=0.002, precip=1.617, T=7.328
