Iter 1: loss=0.060, precip=1.050, T=7.950
Iter 2: loss=0.054, precip=1.096, T=7.905
Iter 3: loss=0.049, precip=1.135, T=7.866
Iter 4: loss=0.044, precip=1.167, T=7.834
Iter 5: loss=0.041, precip=1.195, T=7.806
Iter 6: loss=0.038, precip=1.219, T=7.781
Iter 7: loss=0.036, precip=1.243, T=7.757
Iter 8: loss=0.034, precip=1.264, T=7.736
Iter 9: loss=0.032, precip=1.285, T=7.715
Iter 10: loss=0.030, precip=1.305, T=7.695
Iter 11: loss=0.028, precip=1.325, T=7.674
Iter 12: loss=0.027, precip=1.347, T=7.653
Iter 13: loss=0.025, precip=1.366, T=7.633
Iter 14: loss=0.023, precip=1.384, T=7.616
Iter 15: loss=0.022, precip=1.399, T=7.600
Iter 16: loss=0.021, precip=1.414, T=7.585
Iter 17: loss=0.019, precip=1.430, T=7.569
Iter 18: loss=0.018, precip=1.444, T=7.554
Iter 19: loss=0.016, precip=1.457, T=7.541
Iter 20: loss=0.015, precip=1.476, T=7.521
Iter 21: loss=0.014, precip=1.499, T=7.498
Iter 22: loss=0.012, precip=1.520, T=7.475
Iter 23: loss=0.010, precip=1.540, T=7.455
Iter 24: loss=0.008, precip=1.558, T=7.436
Iter 25: loss=0.007, precip=1.574, T=7.419
Iter 26: loss=0.006, precip=1.590, T=7.402
Iter 27: loss=0.005, precip=1.605, T=7.387
Iter 28: loss=0.003, precip=1.618, T=7.372
Iter 29: loss=0.002, precip=1.631, T=7.359
