Iter 1: loss=0.110, precip=1.950, T=5.050
Iter 2: loss=0.103, precip=1.901, T=5.100
Iter 3: loss=0.095, precip=1.860, T=5.141
Iter 4: loss=0.088, precip=1.819, T=5.183
Iter 5: loss=0.080, precip=1.776, T=5.228
Iter 6: loss=0.070, precip=1.730, T=5.274
Iter 7: loss=0.061, precip=1.689, T=5.316
Iter 8: loss=0.054, precip=1.652, T=5.353
Iter 9: loss=0.051, precip=1.619, T=5.386
Iter 10: loss=0.048, precip=1.589, T=5.415
Iter 11: loss=0.045, precip=1.561, T=5.442
Iter 12: loss=0.042, precip=1.536, T=5.466
Iter 13: loss=0.040, precip=1.514, T=5.488
Iter 14: loss=0.037, precip=1.492, T=5.509
Iter 15: loss=0.035, precip=1.468, T=5.530
Iter 16: loss=0.033, precip=1.447, T=5.549
Iter 17: loss=0.030, precip=1.428, T=5.566
Iter 18: loss=0.028, precip=1.407, T=5.584
Iter 19: loss=0.026, precip=1.386, T=5.600
Iter 20: loss=0.024, precip=1.367, T=5.616
Iter 21: loss=0.022, precip=1.348, T=5.631
Iter 22: loss=0.020, precip=1.317, T=5.656
Iter 23: loss=0.018, precip=1.280, T=5.687
Iter 24: loss=0.014, precip=1.246, T=5.716
Iter 25: loss=0.011, precip=1.215, T=5.741
Iter 26: loss=0.008, precip=1.186, T=5.766
Iter 27: loss=0.006, precip=1.158, T=5.789
Iter 28: loss=0.003, precip=1.133, T=5.809
Iter 29: loss=0.001, precip=1.110, T=5.828
Iter 30: loss=0.001, precip=1.090, T=5.845
Iter 31: loss=0.003, precip=1.072, T=5.860
Iter 32: loss=0.004, precip=1.056, T=5.873
