Iter 1: loss=0.089, precip=0.250, T=5.950
Iter 2: loss=0.078, precip=0.294, T=5.906
Iter 3: loss=0.070, precip=0.339, T=5.861
Iter 4: loss=0.063, precip=0.376, T=5.825
Iter 5: loss=0.059, precip=0.409, T=5.791
Iter 6: loss=0.056, precip=0.439, T=5.763
Iter 7: loss=0.053, precip=0.467, T=5.735
Iter 8: loss=0.049, precip=0.501, T=5.700
Iter 9: loss=0.045, precip=0.532, T=5.670
Iter 10: loss=0.042, precip=0.564, T=5.634
Iter 11: loss=0.038, precip=0.593, T=5.602
Iter 12: loss=0.035, precip=0.620, T=5.574
Iter 13: loss=0.033, precip=0.644, T=5.548
Iter 14: loss=0.031, precip=0.667, T=5.523
Iter 15: loss=0.029, precip=0.688, T=5.500
Iter 16: loss=0.027, precip=0.707, T=5.479
Iter 17: loss=0.025, precip=0.725, T=5.460
Iter 18: loss=0.024, precip=0.741, T=5.443
Iter 19: loss=0.022, precip=0.755, T=5.427
Iter 20: loss=0.021, precip=0.769, T=5.411
Iter 21: loss=0.020, precip=0.782, T=5.397
Iter 22: loss=0.018, precip=0.794, T=5.385
Iter 23: loss=0.017, precip=0.805, T=5.372
Iter 24: loss=0.016, precip=0.815, T=5.361
Iter 25: loss=0.015, precip=0.826, T=5.349
Iter 26: loss=0.014, precip=0.835, T=5.338
Iter 27: loss=0.013, precip=0.857, T=5.314
Iter 28: loss=0.011, precip=0.876, T=5.292
Iter 29: loss=0.009, precip=0.894, T=5.272
Iter 30: loss=0.008, precip=0.910, T=5.254
Iter 31: loss=0.006, precip=0.924, T=5.238
Iter 32: loss=0.005, precip=0.938, T=5.222
Iter 33: loss=0.004, precip=0.950, T=5.208
Iter 34: loss=0.003, precip=0.961, T=5.195
Iter 35: loss=0.002, precip=0.972, T=5.183
Iter 36: loss=0.001, precip=0.981, T=5.173
Iter 37: loss=0.001, precip=0.988, T=5.165
Iter 38: loss=0.002, precip=0.963, T=5.192
