Iter 1: loss=0.181, precip=0.250, T=8.050
Iter 2: loss=0.169, precip=0.284, T=8.080
Iter 3: loss=0.164, precip=0.272, T=8.112
Iter 4: loss=0.167, precip=0.262, T=8.139
Iter 5: loss=0.170, precip=0.279, T=8.126
Iter 6: loss=0.167, precip=0.294, T=8.114
Iter 7: loss=0.163, precip=0.307, T=8.103
Iter 8: loss=0.160, precip=0.334, T=8.077
Iter 9: loss=0.154, precip=0.358, T=8.053
Iter 10: loss=0.149, precip=0.383, T=8.030
Iter 11: loss=0.144, precip=0.412, T=7.998
Iter 12: loss=0.138, precip=0.439, T=7.969
Iter 13: loss=0.134, precip=0.463, T=7.943
Iter 14: loss=0.129, precip=0.484, T=7.919
Iter 15: loss=0.125, precip=0.504, T=7.898
Iter 16: loss=0.122, precip=0.522, T=7.879
Iter 17: loss=0.120, precip=0.544, T=7.853
Iter 18: loss=0.118, precip=0.564, T=7.830
Iter 19: loss=0.114, precip=0.594, T=7.797
Iter 20: loss=0.109, precip=0.625, T=7.765
Iter 21: loss=0.104, precip=0.657, T=7.731
Iter 22: loss=0.098, precip=0.686, T=7.700
Iter 23: loss=0.093, precip=0.715, T=7.668
Iter 24: loss=0.091, precip=0.741, T=7.639
Iter 25: loss=0.088, precip=0.766, T=7.611
Iter 26: loss=0.085, precip=0.792, T=7.580
Iter 27: loss=0.081, precip=0.817, T=7.551
Iter 28: loss=0.079, precip=0.841, T=7.524
Iter 29: loss=0.077, precip=0.862, T=7.498
Iter 30: loss=0.075, precip=0.882, T=7.475
Iter 31: loss=0.073, precip=0.900, T=7.453
Iter 32: loss=0.070, precip=0.919, T=7.432
Iter 33: loss=0.066, precip=0.936, T=7.412
Iter 34: loss=0.064, precip=0.951, T=7.395
Iter 35: loss=0.060, precip=0.965, T=7.379
Iter 36: loss=0.058, precip=0.990, T=7.349
Iter 37: loss=0.055, precip=1.013, T=7.322
Iter 38: loss=0.053, precip=1.033, T=7.298
Iter 39: loss=0.049, precip=1.052, T=7.277
Iter 40: loss=0.046, precip=1.069, T=7.258
Iter 41: loss=0.043, precip=1.087, T=7.237
Iter 42: loss=0.040, precip=1.103, T=7.218
Iter 43: loss=0.038, precip=1.118, T=7.200
Iter 44: loss=0.036, precip=1.131, T=7.184
Iter 45: loss=0.034, precip=1.144, T=7.170
Iter 46: loss=0.032, precip=1.155, T=7.156
Iter 47: loss=0.030, precip=1.165, T=7.144
Iter 48: loss=0.029, precip=1.174, T=7.134
Iter 49: loss=0.029, precip=1.183, T=7.123
Iter 50: loss=0.027, precip=1.191, T=7.114
Iter 51: loss=0.026, precip=1.198, T=7.106
Iter 52: loss=0.025, precip=1.206, T=7.093
Iter 53: loss=0.024, precip=1.213, T=7.082
Iter 54: loss=0.023, precip=1.220, T=7.072
Iter 55: loss=0.022, precip=1.225, T=7.063
Iter 56: loss=0.022, precip=1.231, T=7.055
Iter 57: loss=0.022, precip=1.235, T=7.047
Iter 58: loss=0.021, precip=1.240, T=7.040
Iter 59: loss=0.021, precip=1.244, T=7.034
Iter 60: loss=0.020, precip=1.247, T=7.029
Iter 61: loss=0.020, precip=1.250, T=7.025
Iter 62: loss=0.020, precip=1.253, T=7.021
Iter 63: loss=0.019, precip=1.256, T=7.017
Iter 64: loss=0.019, precip=1.259, T=7.013
Iter 65: loss=0.019, precip=1.262, T=7.010
Iter 66: loss=0.019, precip=1.264, T=7.007
Iter 67: loss=0.019, precip=1.266, T=7.004
Iter 68: loss=0.018, precip=1.275, T=6.992
Iter 69: loss=0.017, precip=1.283, T=6.981
Iter 70: loss=0.016, precip=1.291, T=6.972
Iter 71: loss=0.015, precip=1.298, T=6.962
Iter 72: loss=0.014, precip=1.304, T=6.954
Iter 73: loss=0.013, precip=1.311, T=6.946
Iter 74: loss=0.013, precip=1.316, T=6.939
Iter 75: loss=0.013, precip=1.321, T=6.933
Iter 76: loss=0.012, precip=1.326, T=6.927
Iter 77: loss=0.011, precip=1.330, T=6.922
Iter 78: loss=0.011, precip=1.334, T=6.917
Iter 79: loss=0.011, precip=1.338, T=6.912
Iter 80: loss=0.011, precip=1.341, T=6.908
Iter 81: loss=0.010, precip=1.344, T=6.905
Iter 82: loss=0.010, precip=1.347, T=6.902
Iter 83: loss=0.010, precip=1.350, T=6.898
Iter 84: loss=0.009, precip=1.353, T=6.895
Iter 85: loss=0.009, precip=1.356, T=6.892
Iter 86: loss=0.009, precip=1.358, T=6.889
Iter 87: loss=0.008, precip=1.367, T=6.879
Iter 88: loss=0.007, precip=1.374, T=6.870
Iter 89: loss=0.007, precip=1.396, T=6.843
Iter 90: loss=0.004, precip=1.416, T=6.819
Iter 91: loss=0.002, precip=1.434, T=6.797
Iter 92: loss=0.001, precip=1.450, T=6.777
Iter 93: loss=0.002, precip=1.464, T=6.760
Iter 94: loss=0.003, precip=1.477, T=6.744
Iter 95: loss=0.004, precip=1.489, T=6.729
Iter 96: loss=0.005, precip=1.500, T=6.716
Iter 97: loss=0.006, precip=1.509, T=6.705
Iter 98: loss=0.007, precip=1.518, T=6.694
Iter 99: loss=0.008, precip=1.525, T=6.685
Iter 100: loss=0.008, precip=1.532, T=6.676
