Iter 1: loss=0.116, precip=0.250, T=5.950
Iter 2: loss=0.105, precip=0.300, T=5.900
Iter 3: loss=0.096, precip=0.343, T=5.865
Iter 4: loss=0.087, precip=0.362, T=5.835
Iter 5: loss=0.084, precip=0.393, T=5.799
Iter 6: loss=0.081, precip=0.430, T=5.759
Iter 7: loss=0.076, precip=0.470, T=5.720
Iter 8: loss=0.071, precip=0.510, T=5.682
Iter 9: loss=0.064, precip=0.545, T=5.649
Iter 10: loss=0.058, precip=0.583, T=5.611
Iter 11: loss=0.054, precip=0.617, T=5.577
Iter 12: loss=0.050, precip=0.648, T=5.546
Iter 13: loss=0.047, precip=0.675, T=5.519
Iter 14: loss=0.042, precip=0.700, T=5.494
Iter 15: loss=0.040, precip=0.722, T=5.471
Iter 16: loss=0.037, precip=0.753, T=5.442
Iter 17: loss=0.033, precip=0.781, T=5.415
Iter 18: loss=0.031, precip=0.813, T=5.386
Iter 19: loss=0.027, precip=0.841, T=5.360
Iter 20: loss=0.024, precip=0.873, T=5.331
Iter 21: loss=0.021, precip=0.903, T=5.304
Iter 22: loss=0.018, precip=0.930, T=5.279
Iter 23: loss=0.015, precip=0.955, T=5.257
Iter 24: loss=0.013, precip=0.979, T=5.237
Iter 25: loss=0.011, precip=1.000, T=5.219
Iter 26: loss=0.009, precip=1.033, T=5.188
Iter 27: loss=0.005, precip=1.065, T=5.158
Iter 28: loss=0.004, precip=1.088, T=5.137
Iter 29: loss=0.006, precip=1.109, T=5.118
Iter 30: loss=0.007, precip=1.128, T=5.101
Iter 31: loss=0.008, precip=1.145, T=5.085
Iter 32: loss=0.009, precip=1.161, T=5.071
Iter 33: loss=0.010, precip=1.175, T=5.058
Iter 34: loss=0.010, precip=1.188, T=5.046
Iter 35: loss=0.011, precip=1.200, T=5.035
Iter 36: loss=0.012, precip=1.211, T=5.025
Iter 37: loss=0.012, precip=1.214, T=5.024
Iter 38: loss=0.012, precip=1.210, T=5.030
Iter 39: loss=0.012, precip=1.206, T=5.035
Iter 40: loss=0.012, precip=1.203, T=5.040
Iter 41: loss=0.012, precip=1.200, T=5.044
Iter 42: loss=0.012, precip=1.197, T=5.048
Iter 43: loss=0.011, precip=1.194, T=5.052
Iter 44: loss=0.011, precip=1.192, T=5.055
Iter 45: loss=0.011, precip=1.186, T=5.063
Iter 46: loss=0.010, precip=1.181, T=5.069
Iter 47: loss=0.010, precip=1.176, T=5.075
Iter 48: loss=0.010, precip=1.173, T=5.081
Iter 49: loss=0.010, precip=1.169, T=5.086
Iter 50: loss=0.010, precip=1.166, T=5.090
Iter 51: loss=0.010, precip=1.164, T=5.094
Iter 52: loss=0.009, precip=1.161, T=5.098
Iter 53: loss=0.009, precip=1.159, T=5.101
Iter 54: loss=0.009, precip=1.157, T=5.105
Iter 55: loss=0.009, precip=1.155, T=5.107
Iter 56: loss=0.009, precip=1.151, T=5.112
Iter 57: loss=0.009, precip=1.146, T=5.118
Iter 58: loss=0.009, precip=1.140, T=5.124
Iter 59: loss=0.009, precip=1.135, T=5.130
Iter 60: loss=0.008, precip=1.126, T=5.139
Iter 61: loss=0.007, precip=1.118, T=5.148
Iter 62: loss=0.007, precip=1.111, T=5.155
Iter 63: loss=0.006, precip=1.104, T=5.163
Iter 64: loss=0.006, precip=1.098, T=5.170
Iter 65: loss=0.006, precip=1.084, T=5.184
Iter 66: loss=0.005, precip=1.072, T=5.197
Iter 67: loss=0.004, precip=1.062, T=5.208
Iter 68: loss=0.003, precip=1.054, T=5.219
Iter 69: loss=0.004, precip=1.047, T=5.228
Iter 70: loss=0.004, precip=1.041, T=5.237
Iter 71: loss=0.005, precip=1.035, T=5.245
Iter 72: loss=0.005, precip=1.038, T=5.244
Iter 73: loss=0.005, precip=1.054, T=5.230
Iter 74: loss=0.004, precip=1.073, T=5.213
Iter 75: loss=0.004, precip=1.092, T=5.197
Iter 76: loss=0.005, precip=1.108, T=5.182
Iter 77: loss=0.006, precip=1.123, T=5.169
Iter 78: loss=0.007, precip=1.137, T=5.157
Iter 79: loss=0.008, precip=1.149, T=5.147
Iter 80: loss=0.009, precip=1.125, T=5.172
Iter 81: loss=0.007, precip=1.103, T=5.195
Iter 82: loss=0.006, precip=1.079, T=5.220
Iter 83: loss=0.004, precip=1.049, T=5.251
Iter 84: loss=0.004, precip=1.023, T=5.279
Iter 85: loss=0.007, precip=1.012, T=5.290
Iter 86: loss=0.009, precip=1.003, T=5.301
Iter 87: loss=0.010, precip=0.997, T=5.308
Iter 88: loss=0.010, precip=0.994, T=5.313
Iter 89: loss=0.011, precip=0.991, T=5.316
Iter 90: loss=0.011, precip=0.989, T=5.320
Iter 91: loss=0.011, precip=0.987, T=5.323
Iter 92: loss=0.011, precip=0.985, T=5.325
Iter 93: loss=0.011, precip=0.983, T=5.328
Iter 94: loss=0.011, precip=0.981, T=5.330
Iter 95: loss=0.012, precip=0.997, T=5.316
Iter 96: loss=0.011, precip=1.011, T=5.303
Iter 97: loss=0.009, precip=1.033, T=5.281
Iter 98: loss=0.006, precip=1.054, T=5.262
Iter 99: loss=0.004, precip=1.072, T=5.244
Iter 100: loss=0.004, precip=1.089, T=5.229
