Iter 1: loss=0.038, precip=2.050, T=8.950
Iter 2: loss=0.031, precip=2.084, T=8.916
Iter 3: loss=0.026, precip=2.116, T=8.884
Iter 4: loss=0.022, precip=2.143, T=8.857
Iter 5: loss=0.020, precip=2.168, T=8.832
Iter 6: loss=0.018, precip=2.190, T=8.810
Iter 7: loss=0.015, precip=2.208, T=8.792
Iter 8: loss=0.013, precip=2.225, T=8.775
Iter 9: loss=0.012, precip=2.239, T=8.761
Iter 10: loss=0.011, precip=2.252, T=8.747
Iter 11: loss=0.009, precip=2.267, T=8.732
Iter 12: loss=0.008, precip=2.280, T=8.719
Iter 13: loss=0.006, precip=2.296, T=8.703
Iter 14: loss=0.005, precip=2.324, T=8.675
Iter 15: loss=0.003, precip=2.349, T=8.650
Iter 16: loss=0.004, precip=2.372, T=8.627
Iter 17: loss=0.006, precip=2.391, T=8.608
Iter 18: loss=0.008, precip=2.408, T=8.591
Iter 19: loss=0.009, precip=2.423, T=8.575
Iter 20: loss=0.010, precip=2.437, T=8.561
Iter 21: loss=0.011, precip=2.449, T=8.548
Iter 22: loss=0.011, precip=2.461, T=8.537
Iter 23: loss=0.013, precip=2.456, T=8.541
Iter 24: loss=0.012, precip=2.449, T=8.548
Iter 25: loss=0.011, precip=2.443, T=8.554
Iter 26: loss=0.011, precip=2.437, T=8.559
Iter 27: loss=0.011, precip=2.431, T=8.564
Iter 28: loss=0.010, precip=2.427, T=8.568
Iter 29: loss=0.010, precip=2.422, T=8.572
Iter 30: loss=0.010, precip=2.418, T=8.576
Iter 31: loss=0.010, precip=2.414, T=8.580
Iter 32: loss=0.010, precip=2.411, T=8.583
Iter 33: loss=0.009, precip=2.408, T=8.586
Iter 34: loss=0.009, precip=2.405, T=8.588
Iter 35: loss=0.009, precip=2.402, T=8.591
Iter 36: loss=0.009, precip=2.399, T=8.593
Iter 37: loss=0.008, precip=2.396, T=8.595
Iter 38: loss=0.008, precip=2.393, T=8.597
Iter 39: loss=0.008, precip=2.391, T=8.599
Iter 40: loss=0.008, precip=2.389, T=8.600
Iter 41: loss=0.008, precip=2.387, T=8.602
Iter 42: loss=0.007, precip=2.384, T=8.604
Iter 43: loss=0.007, precip=2.379, T=8.608
Iter 44: loss=0.007, precip=2.374, T=8.613
Iter 45: loss=0.007, precip=2.370, T=8.616
Iter 46: loss=0.007, precip=2.366, T=8.620
Iter 47: loss=0.006, precip=2.362, T=8.623
Iter 48: loss=0.006, precip=2.358, T=8.626
Iter 49: loss=0.005, precip=2.355, T=8.629
Iter 50: loss=0.005, precip=2.353, T=8.631
Iter 51: loss=0.005, precip=2.343, T=8.641
Iter 52: loss=0.004, precip=2.326, T=8.656
Iter 53: loss=0.003, precip=2.307, T=8.675
Iter 54: loss=0.003, precip=2.294, T=8.688
Iter 55: loss=0.004, precip=2.283, T=8.699
Iter 56: loss=0.005, precip=2.272, T=8.709
Iter 57: loss=0.007, precip=2.263, T=8.718
Iter 58: loss=0.008, precip=2.260, T=8.721
Iter 59: loss=0.008, precip=2.257, T=8.723
Iter 60: loss=0.008, precip=2.255, T=8.725
Iter 61: loss=0.008, precip=2.253, T=8.726
Iter 62: loss=0.008, precip=2.251, T=8.728
Iter 63: loss=0.008, precip=2.249, T=8.729
Iter 64: loss=0.009, precip=2.246, T=8.731
Iter 65: loss=0.009, precip=2.243, T=8.733
Iter 66: loss=0.009, precip=2.256, T=8.719
Iter 67: loss=0.008, precip=2.268, T=8.706
Iter 68: loss=0.007, precip=2.279, T=8.694
Iter 69: loss=0.005, precip=2.288, T=8.684
Iter 70: loss=0.004, precip=2.297, T=8.674
Iter 71: loss=0.004, precip=2.305, T=8.666
Iter 72: loss=0.003, precip=2.312, T=8.658
Iter 73: loss=0.003, precip=2.319, T=8.651
Iter 74: loss=0.003, precip=2.302, T=8.667
Iter 75: loss=0.003, precip=2.289, T=8.679
Iter 76: loss=0.004, precip=2.278, T=8.689
Iter 77: loss=0.005, precip=2.268, T=8.699
Iter 78: loss=0.006, precip=2.268, T=8.699
Iter 79: loss=0.006, precip=2.277, T=8.689
Iter 80: loss=0.005, precip=2.285, T=8.681
Iter 81: loss=0.005, precip=2.297, T=8.669
Iter 82: loss=0.004, precip=2.307, T=8.658
Iter 83: loss=0.003, precip=2.317, T=8.648
Iter 84: loss=0.003, precip=2.320, T=8.645
Iter 85: loss=0.003, precip=2.322, T=8.642
Iter 86: loss=0.003, precip=2.324, T=8.640
Iter 87: loss=0.003, precip=2.326, T=8.638
Iter 88: loss=0.003, precip=2.327, T=8.636
Iter 89: loss=0.003, precip=2.329, T=8.634
Iter 90: loss=0.003, precip=2.330, T=8.633
Iter 91: loss=0.003, precip=2.332, T=8.631
Iter 92: loss=0.004, precip=2.333, T=8.630
Iter 93: loss=0.004, precip=2.334, T=8.629
Iter 94: loss=0.004, precip=2.333, T=8.630
Iter 95: loss=0.004, precip=2.332, T=8.631
Iter 96: loss=0.004, precip=2.331, T=8.632
Iter 97: loss=0.004, precip=2.330, T=8.633
Iter 98: loss=0.003, precip=2.329, T=8.633
Iter 99: loss=0.003, precip=2.324, T=8.638
Iter 100: loss=0.003, precip=2.320, T=8.642
