Iter 1: loss=0.078, precip=1.050, T=7.950
Iter 2: loss=0.073, precip=1.084, T=7.916
Iter 3: loss=0.068, precip=1.111, T=7.889
Iter 4: loss=0.064, precip=1.128, T=7.875
Iter 5: loss=0.063, precip=1.148, T=7.856
Iter 6: loss=0.060, precip=1.173, T=7.829
Iter 7: loss=0.056, precip=1.205, T=7.796
Iter 8: loss=0.050, precip=1.233, T=7.768
Iter 9: loss=0.047, precip=1.259, T=7.741
Iter 10: loss=0.042, precip=1.282, T=7.718
Iter 11: loss=0.039, precip=1.303, T=7.697
Iter 12: loss=0.036, precip=1.321, T=7.678
Iter 13: loss=0.034, precip=1.338, T=7.661
Iter 14: loss=0.031, precip=1.354, T=7.646
Iter 15: loss=0.030, precip=1.367, T=7.632
Iter 16: loss=0.028, precip=1.380, T=7.619
Iter 17: loss=0.026, precip=1.392, T=7.607
Iter 18: loss=0.025, precip=1.403, T=7.596
Iter 19: loss=0.023, precip=1.413, T=7.587
Iter 20: loss=0.022, precip=1.421, T=7.578
Iter 21: loss=0.022, precip=1.430, T=7.569
Iter 22: loss=0.021, precip=1.438, T=7.561
Iter 23: loss=0.020, precip=1.445, T=7.553
Iter 24: loss=0.020, precip=1.453, T=7.545
Iter 25: loss=0.019, precip=1.460, T=7.538
Iter 26: loss=0.018, precip=1.467, T=7.531
Iter 27: loss=0.018, precip=1.474, T=7.522
Iter 28: loss=0.017, precip=1.482, T=7.514
Iter 29: loss=0.016, precip=1.488, T=7.507
Iter 30: loss=0.015, precip=1.494, T=7.500
Iter 31: loss=0.014, precip=1.500, T=7.493
Iter 32: loss=0.014, precip=1.506, T=7.487
Iter 33: loss=0.013, precip=1.514, T=7.478
Iter 34: loss=0.012, precip=1.521, T=7.470
Iter 35: loss=0.012, precip=1.528, T=7.462
Iter 36: loss=0.011, precip=1.534, T=7.456
Iter 37: loss=0.011, precip=1.543, T=7.446
Iter 38: loss=0.010, precip=1.551, T=7.436
Iter 39: loss=0.009, precip=1.561, T=7.425
Iter 40: loss=0.008, precip=1.573, T=7.412
Iter 41: loss=0.006, precip=1.585, T=7.399
Iter 42: loss=0.006, precip=1.595, T=7.387
Iter 43: loss=0.004, precip=1.605, T=7.377
Iter 44: loss=0.003, precip=1.614, T=7.367
Iter 45: loss=0.002, precip=1.622, T=7.358
Iter 46: loss=0.001, precip=1.629, T=7.350
Iter 47: loss=0.001, precip=1.636, T=7.343
Iter 48: loss=0.001, precip=1.641, T=7.337
Iter 49: loss=0.001, precip=1.647, T=7.331
Iter 50: loss=0.002, precip=1.650, T=7.327
Iter 51: loss=0.002, precip=1.653, T=7.324
Iter 52: loss=0.002, precip=1.656, T=7.321
Iter 53: loss=0.002, precip=1.658, T=7.318
Iter 54: loss=0.003, precip=1.660, T=7.316
Iter 55: loss=0.003, precip=1.661, T=7.314
Iter 56: loss=0.003, precip=1.662, T=7.312
Iter 57: loss=0.003, precip=1.664, T=7.311
Iter 58: loss=0.003, precip=1.665, T=7.309
Iter 59: loss=0.003, precip=1.666, T=7.308
Iter 60: loss=0.004, precip=1.663, T=7.310
Iter 61: loss=0.003, precip=1.661, T=7.312
Iter 62: loss=0.003, precip=1.659, T=7.314
Iter 63: loss=0.003, precip=1.658, T=7.316
Iter 64: loss=0.003, precip=1.656, T=7.318
Iter 65: loss=0.003, precip=1.654, T=7.320
Iter 66: loss=0.002, precip=1.652, T=7.322
Iter 67: loss=0.002, precip=1.649, T=7.324
Iter 68: loss=0.002, precip=1.648, T=7.326
Iter 69: loss=0.002, precip=1.646, T=7.327
Iter 70: loss=0.002, precip=1.644, T=7.329
Iter 71: loss=0.002, precip=1.638, T=7.336
Iter 72: loss=0.001, precip=1.632, T=7.342
Iter 73: loss=0.000, precip=1.627, T=7.347
Iter 74: loss=0.001, precip=1.622, T=7.352
Iter 75: loss=0.001, precip=1.617, T=7.357
Iter 76: loss=0.001, precip=1.613, T=7.361
Iter 77: loss=0.002, precip=1.610, T=7.365
Iter 78: loss=0.002, precip=1.607, T=7.368
Iter 79: loss=0.002, precip=1.604, T=7.370
Iter 80: loss=0.003, precip=1.619, T=7.354
Iter 81: loss=0.001, precip=1.633, T=7.340
Iter 82: loss=0.001, precip=1.645, T=7.327
Iter 83: loss=0.002, precip=1.655, T=7.316
Iter 84: loss=0.003, precip=1.664, T=7.306
Iter 85: loss=0.003, precip=1.671, T=7.297
Iter 86: loss=0.004, precip=1.678, T=7.290
Iter 87: loss=0.005, precip=1.684, T=7.283
Iter 88: loss=0.005, precip=1.687, T=7.280
Iter 89: loss=0.006, precip=1.688, T=7.279
Iter 90: loss=0.006, precip=1.689, T=7.278
Iter 91: loss=0.006, precip=1.689, T=7.277
Iter 92: loss=0.006, precip=1.690, T=7.277
Iter 93: loss=0.006, precip=1.690, T=7.276
Iter 94: loss=0.006, precip=1.690, T=7.276
Iter 95: loss=0.006, precip=1.691, T=7.275
Iter 96: loss=0.006, precip=1.691, T=7.275
Iter 97: loss=0.006, precip=1.691, T=7.274
Iter 98: loss=0.006, precip=1.692, T=7.274
Iter 99: loss=0.006, precip=1.692, T=7.274
Iter 100: loss=0.006, precip=1.692, T=7.273
