Iter 1: loss=0.019, precip=1.050, T=5.950
Iter 2: loss=0.014, precip=1.087, T=5.913
Iter 3: loss=0.011, precip=1.123, T=5.878
Iter 4: loss=0.006, precip=1.154, T=5.848
Iter 5: loss=0.003, precip=1.179, T=5.822
Iter 6: loss=0.004, precip=1.202, T=5.801
Iter 7: loss=0.005, precip=1.221, T=5.781
Iter 8: loss=0.006, precip=1.237, T=5.768
Iter 9: loss=0.007, precip=1.251, T=5.756
Iter 10: loss=0.007, precip=1.264, T=5.745
Iter 11: loss=0.009, precip=1.275, T=5.735
Iter 12: loss=0.009, precip=1.286, T=5.727
Iter 13: loss=0.009, precip=1.296, T=5.719
Iter 14: loss=0.010, precip=1.305, T=5.713
Iter 15: loss=0.010, precip=1.313, T=5.707
Iter 16: loss=0.011, precip=1.320, T=5.703
Iter 17: loss=0.011, precip=1.325, T=5.700
Iter 18: loss=0.011, precip=1.318, T=5.710
Iter 19: loss=0.011, precip=1.312, T=5.718
Iter 20: loss=0.011, precip=1.288, T=5.744
Iter 21: loss=0.009, precip=1.266, T=5.767
Iter 22: loss=0.009, precip=1.246, T=5.788
Iter 23: loss=0.007, precip=1.228, T=5.807
Iter 24: loss=0.006, precip=1.211, T=5.825
Iter 25: loss=0.005, precip=1.196, T=5.841
Iter 26: loss=0.004, precip=1.183, T=5.856
Iter 27: loss=0.003, precip=1.167, T=5.873
Iter 28: loss=0.003, precip=1.153, T=5.888
Iter 29: loss=0.004, precip=1.140, T=5.903
Iter 30: loss=0.005, precip=1.131, T=5.912
Iter 31: loss=0.006, precip=1.124, T=5.920
Iter 32: loss=0.007, precip=1.118, T=5.927
Iter 33: loss=0.008, precip=1.113, T=5.932
Iter 34: loss=0.009, precip=1.108, T=5.937
Iter 35: loss=0.009, precip=1.104, T=5.942
Iter 36: loss=0.010, precip=1.101, T=5.946
Iter 37: loss=0.010, precip=1.098, T=5.950
Iter 38: loss=0.010, precip=1.095, T=5.953
Iter 39: loss=0.011, precip=1.093, T=5.956
Iter 40: loss=0.011, precip=1.092, T=5.959
Iter 41: loss=0.011, precip=1.091, T=5.962
Iter 42: loss=0.011, precip=1.099, T=5.956
Iter 43: loss=0.010, precip=1.106, T=5.950
Iter 44: loss=0.010, precip=1.112, T=5.945
Iter 45: loss=0.009, precip=1.118, T=5.940
Iter 46: loss=0.008, precip=1.123, T=5.938
Iter 47: loss=0.008, precip=1.126, T=5.936
Iter 48: loss=0.008, precip=1.138, T=5.925
Iter 49: loss=0.006, precip=1.149, T=5.916
Iter 50: loss=0.005, precip=1.159, T=5.907
Iter 51: loss=0.004, precip=1.168, T=5.899
Iter 52: loss=0.003, precip=1.176, T=5.892
Iter 53: loss=0.003, precip=1.185, T=5.884
Iter 54: loss=0.003, precip=1.192, T=5.878
Iter 55: loss=0.003, precip=1.199, T=5.873
Iter 56: loss=0.003, precip=1.205, T=5.868
Iter 57: loss=0.004, precip=1.210, T=5.864
Iter 58: loss=0.004, precip=1.215, T=5.861
Iter 59: loss=0.005, precip=1.220, T=5.858
Iter 60: loss=0.005, precip=1.224, T=5.855
Iter 61: loss=0.005, precip=1.226, T=5.857
Iter 62: loss=0.005, precip=1.227, T=5.859
Iter 63: loss=0.005, precip=1.228, T=5.861
Iter 64: loss=0.005, precip=1.221, T=5.872
Iter 65: loss=0.005, precip=1.215, T=5.881
Iter 66: loss=0.004, precip=1.210, T=5.889
Iter 67: loss=0.004, precip=1.204, T=5.899
Iter 68: loss=0.003, precip=1.199, T=5.907
Iter 69: loss=0.003, precip=1.194, T=5.915
Iter 70: loss=0.003, precip=1.190, T=5.923
Iter 71: loss=0.002, precip=1.183, T=5.934
Iter 72: loss=0.003, precip=1.180, T=5.941
Iter 73: loss=0.003, precip=1.177, T=5.947
Iter 74: loss=0.003, precip=1.175, T=5.953
Iter 75: loss=0.004, precip=1.172, T=5.958
Iter 76: loss=0.004, precip=1.178, T=5.954
Iter 77: loss=0.003, precip=1.184, T=5.951
Iter 78: loss=0.003, precip=1.190, T=5.947
Iter 79: loss=0.002, precip=1.195, T=5.944
Iter 80: loss=0.002, precip=1.203, T=5.941
Iter 81: loss=0.003, precip=1.211, T=5.938
Iter 82: loss=0.003, precip=1.218, T=5.936
Iter 83: loss=0.004, precip=1.217, T=5.941
Iter 84: loss=0.003, precip=1.217, T=5.946
Iter 85: loss=0.003, precip=1.216, T=5.951
Iter 86: loss=0.003, precip=1.216, T=5.955
Iter 87: loss=0.003, precip=1.216, T=5.958
Iter 88: loss=0.003, precip=1.215, T=5.962
Iter 89: loss=0.003, precip=1.215, T=5.965
Iter 90: loss=0.003, precip=1.215, T=5.967
Iter 91: loss=0.003, precip=1.215, T=5.970
Iter 92: loss=0.003, precip=1.215, T=5.972
Iter 93: loss=0.003, precip=1.215, T=5.974
Iter 94: loss=0.003, precip=1.215, T=5.976
Iter 95: loss=0.003, precip=1.215, T=5.978
Iter 96: loss=0.003, precip=1.215, T=5.979
Iter 97: loss=0.003, precip=1.215, T=5.981
Iter 98: loss=0.003, precip=1.215, T=5.982
Iter 99: loss=0.003, precip=1.215, T=5.983
Iter 100: loss=0.003, precip=1.215, T=5.984
