Iter 1: loss=0.114, precip=1.050, T=8.950
Iter 2: loss=0.108, precip=1.013, T=8.987
Iter 3: loss=0.112, precip=1.031, T=8.967
Iter 4: loss=0.110, precip=1.060, T=8.935
Iter 5: loss=0.106, precip=1.091, T=8.902
Iter 6: loss=0.102, precip=1.118, T=8.873
Iter 7: loss=0.099, precip=1.143, T=8.846
Iter 8: loss=0.098, precip=1.176, T=8.813
Iter 9: loss=0.094, precip=1.206, T=8.783
Iter 10: loss=0.090, precip=1.234, T=8.754
Iter 11: loss=0.087, precip=1.260, T=8.728
Iter 12: loss=0.084, precip=1.286, T=8.703
Iter 13: loss=0.081, precip=1.310, T=8.680
Iter 14: loss=0.078, precip=1.332, T=8.659
Iter 15: loss=0.075, precip=1.361, T=8.630
Iter 16: loss=0.071, precip=1.397, T=8.595
Iter 17: loss=0.067, precip=1.431, T=8.562
Iter 18: loss=0.065, precip=1.461, T=8.531
Iter 19: loss=0.060, precip=1.489, T=8.504
Iter 20: loss=0.056, precip=1.517, T=8.476
Iter 21: loss=0.052, precip=1.540, T=8.454
Iter 22: loss=0.049, precip=1.561, T=8.434
Iter 23: loss=0.046, precip=1.592, T=8.403
Iter 24: loss=0.042, precip=1.620, T=8.376
Iter 25: loss=0.037, precip=1.646, T=8.350
Iter 26: loss=0.033, precip=1.678, T=8.319
Iter 27: loss=0.029, precip=1.707, T=8.290
Iter 28: loss=0.025, precip=1.732, T=8.265
Iter 29: loss=0.023, precip=1.756, T=8.242
Iter 30: loss=0.021, precip=1.777, T=8.221
Iter 31: loss=0.019, precip=1.796, T=8.202
Iter 32: loss=0.017, precip=1.814, T=8.184
Iter 33: loss=0.015, precip=1.831, T=8.168
Iter 34: loss=0.013, precip=1.846, T=8.153
Iter 35: loss=0.012, precip=1.860, T=8.139
Iter 36: loss=0.011, precip=1.874, T=8.125
Iter 37: loss=0.010, precip=1.886, T=8.113
Iter 38: loss=0.009, precip=1.901, T=8.099
Iter 39: loss=0.007, precip=1.913, T=8.086
Iter 40: loss=0.005, precip=1.925, T=8.075
Iter 41: loss=0.004, precip=1.936, T=8.064
Iter 42: loss=0.003, precip=1.946, T=8.055
Iter 43: loss=0.002, precip=1.955, T=8.046
Iter 44: loss=0.002, precip=1.963, T=8.038
Iter 45: loss=0.002, precip=1.970, T=8.031
Iter 46: loss=0.002, precip=1.977, T=8.024
Iter 47: loss=0.003, precip=1.982, T=8.018
Iter 48: loss=0.004, precip=1.988, T=8.013
Iter 49: loss=0.004, precip=1.992, T=8.009
Iter 50: loss=0.004, precip=1.996, T=8.005
Iter 51: loss=0.005, precip=1.999, T=8.002
Iter 52: loss=0.005, precip=2.002, T=7.998
Iter 53: loss=0.006, precip=2.005, T=7.995
Iter 54: loss=0.006, precip=2.008, T=7.993
Iter 55: loss=0.006, precip=2.010, T=7.990
Iter 56: loss=0.006, precip=2.012, T=7.988
Iter 57: loss=0.006, precip=2.014, T=7.986
Iter 58: loss=0.006, precip=2.016, T=7.985
Iter 59: loss=0.006, precip=2.018, T=7.983
Iter 60: loss=0.007, precip=2.019, T=7.981
Iter 61: loss=0.007, precip=2.021, T=7.980
Iter 62: loss=0.007, precip=2.022, T=7.979
Iter 63: loss=0.007, precip=2.023, T=7.978
Iter 64: loss=0.007, precip=2.024, T=7.977
Iter 65: loss=0.007, precip=2.025, T=7.976
Iter 66: loss=0.007, precip=2.026, T=7.975
Iter 67: loss=0.007, precip=2.026, T=7.975
Iter 68: loss=0.007, precip=2.026, T=7.974
Iter 69: loss=0.007, precip=2.027, T=7.974
Iter 70: loss=0.007, precip=2.027, T=7.974
Iter 71: loss=0.007, precip=2.027, T=7.973
Iter 72: loss=0.007, precip=2.028, T=7.973
Iter 73: loss=0.007, precip=2.028, T=7.973
Iter 74: loss=0.007, precip=2.028, T=7.972
Iter 75: loss=0.007, precip=2.028, T=7.972
Iter 76: loss=0.007, precip=2.028, T=7.972
Iter 77: loss=0.007, precip=2.029, T=7.972
Iter 78: loss=0.007, precip=2.029, T=7.972
Iter 79: loss=0.007, precip=2.029, T=7.972
Iter 80: loss=0.007, precip=2.029, T=7.971
Iter 81: loss=0.007, precip=2.029, T=7.971
Iter 82: loss=0.007, precip=2.029, T=7.971
Iter 83: loss=0.007, precip=2.029, T=7.971
Iter 84: loss=0.007, precip=2.029, T=7.971
Iter 85: loss=0.007, precip=2.029, T=7.971
Iter 86: loss=0.007, precip=2.030, T=7.971
Iter 87: loss=0.007, precip=2.030, T=7.971
Iter 88: loss=0.007, precip=2.030, T=7.971
Iter 89: loss=0.007, precip=2.030, T=7.971
Iter 90: loss=0.007, precip=2.030, T=7.971
Iter 91: loss=0.007, precip=2.030, T=7.971
Iter 92: loss=0.007, precip=2.030, T=7.971
Iter 93: loss=0.007, precip=2.030, T=7.971
Iter 94: loss=0.007, precip=2.030, T=7.971
Iter 95: loss=0.007, precip=2.030, T=7.971
Iter 96: loss=0.007, precip=2.030, T=7.970
Iter 97: loss=0.007, precip=2.030, T=7.970
Iter 98: loss=0.007, precip=2.030, T=7.970
Iter 99: loss=0.007, precip=2.030, T=7.970
Iter 100: loss=0.007, precip=2.030, T=7.970
