Iter 1: loss=0.006, precip=1.950, T=8.050
Iter 2: loss=0.002, precip=1.978, T=8.021
Iter 3: loss=0.003, precip=1.998, T=8.000
Iter 4: loss=0.005, precip=2.012, T=7.985
Iter 5: loss=0.006, precip=2.024, T=7.972
Iter 6: loss=0.007, precip=2.035, T=7.961
Iter 7: loss=0.008, precip=2.043, T=7.952
Iter 8: loss=0.009, precip=2.051, T=7.944
Iter 9: loss=0.009, precip=2.057, T=7.936
Iter 10: loss=0.009, precip=2.063, T=7.930
Iter 11: loss=0.010, precip=2.069, T=7.924
Iter 12: loss=0.010, precip=2.067, T=7.925
Iter 13: loss=0.010, precip=2.064, T=7.925
Iter 14: loss=0.010, precip=2.059, T=7.927
Iter 15: loss=0.010, precip=2.054, T=7.928
Iter 16: loss=0.010, precip=2.050, T=7.929
Iter 17: loss=0.009, precip=2.046, T=7.930
Iter 18: loss=0.009, precip=2.042, T=7.932
Iter 19: loss=0.009, precip=2.038, T=7.934
Iter 20: loss=0.009, precip=2.034, T=7.935
Iter 21: loss=0.009, precip=2.030, T=7.937
Iter 22: loss=0.008, precip=2.027, T=7.938
Iter 23: loss=0.008, precip=2.025, T=7.939
Iter 24: loss=0.008, precip=2.022, T=7.941
Iter 25: loss=0.008, precip=2.000, T=7.961
Iter 26: loss=0.006, precip=1.980, T=7.979
Iter 27: loss=0.005, precip=1.962, T=7.996
Iter 28: loss=0.003, precip=1.946, T=8.011
Iter 29: loss=0.002, precip=1.931, T=8.025
Iter 30: loss=0.002, precip=1.917, T=8.038
Iter 31: loss=0.004, precip=1.941, T=8.014
Iter 32: loss=0.001, precip=1.963, T=7.992
Iter 33: loss=0.003, precip=1.982, T=7.973
Iter 34: loss=0.005, precip=1.985, T=7.969
Iter 35: loss=0.006, precip=1.988, T=7.966
Iter 36: loss=0.006, precip=1.976, T=7.979
Iter 37: loss=0.004, precip=1.965, T=7.989
Iter 38: loss=0.003, precip=1.953, T=8.000
Iter 39: loss=0.002, precip=1.943, T=8.010
Iter 40: loss=0.001, precip=1.932, T=8.020
Iter 41: loss=0.002, precip=1.922, T=8.030
Iter 42: loss=0.003, precip=1.913, T=8.038
Iter 43: loss=0.004, precip=1.905, T=8.046
Iter 44: loss=0.005, precip=1.897, T=8.053
Iter 45: loss=0.005, precip=1.891, T=8.059
Iter 46: loss=0.007, precip=1.886, T=8.063
Iter 47: loss=0.007, precip=1.882, T=8.066
Iter 48: loss=0.007, precip=1.879, T=8.068
Iter 49: loss=0.007, precip=1.877, T=8.069
Iter 50: loss=0.008, precip=1.874, T=8.070
Iter 51: loss=0.008, precip=1.871, T=8.071
Iter 52: loss=0.008, precip=1.877, T=8.063
Iter 53: loss=0.007, precip=1.882, T=8.056
Iter 54: loss=0.007, precip=1.886, T=8.049
Iter 55: loss=0.007, precip=1.892, T=8.040
Iter 56: loss=0.005, precip=1.909, T=8.021
Iter 57: loss=0.003, precip=1.924, T=8.003
Iter 58: loss=0.002, precip=1.942, T=7.982
Iter 59: loss=0.002, precip=1.959, T=7.962
Iter 60: loss=0.004, precip=1.975, T=7.945
Iter 61: loss=0.006, precip=1.989, T=7.929
Iter 62: loss=0.007, precip=2.002, T=7.915
Iter 63: loss=0.007, precip=2.010, T=7.904
Iter 64: loss=0.008, precip=2.018, T=7.895
Iter 65: loss=0.009, precip=2.025, T=7.887
Iter 66: loss=0.009, precip=2.031, T=7.879
Iter 67: loss=0.010, precip=2.037, T=7.872
Iter 68: loss=0.010, precip=2.042, T=7.866
Iter 69: loss=0.010, precip=2.047, T=7.860
Iter 70: loss=0.010, precip=2.051, T=7.856
Iter 71: loss=0.011, precip=2.054, T=7.851
Iter 72: loss=0.011, precip=2.055, T=7.848
Iter 73: loss=0.011, precip=2.055, T=7.846
Iter 74: loss=0.011, precip=2.054, T=7.843
Iter 75: loss=0.011, precip=2.051, T=7.842
Iter 76: loss=0.011, precip=2.048, T=7.841
Iter 77: loss=0.011, precip=2.045, T=7.840
Iter 78: loss=0.011, precip=2.042, T=7.839
Iter 79: loss=0.011, precip=2.040, T=7.838
Iter 80: loss=0.011, precip=2.034, T=7.841
Iter 81: loss=0.010, precip=2.028, T=7.844
Iter 82: loss=0.010, precip=2.023, T=7.847
Iter 83: loss=0.010, precip=2.018, T=7.849
Iter 84: loss=0.010, precip=2.014, T=7.851
Iter 85: loss=0.009, precip=2.010, T=7.853
Iter 86: loss=0.009, precip=2.007, T=7.855
Iter 87: loss=0.009, precip=2.004, T=7.857
Iter 88: loss=0.009, precip=1.998, T=7.861
Iter 89: loss=0.009, precip=1.993, T=7.864
Iter 90: loss=0.008, precip=1.989, T=7.868
Iter 91: loss=0.008, precip=1.984, T=7.871
Iter 92: loss=0.008, precip=1.944, T=7.911
Iter 93: loss=0.005, precip=1.901, T=7.952
Iter 94: loss=0.002, precip=1.862, T=7.990
Iter 95: loss=0.005, precip=1.833, T=8.019
Iter 96: loss=0.009, precip=1.806, T=8.045
Iter 97: loss=0.012, precip=1.786, T=8.064
Iter 98: loss=0.013, precip=1.769, T=8.080
Iter 99: loss=0.014, precip=1.758, T=8.091
Iter 100: loss=0.015, precip=1.747, T=8.101
