Iter 1: loss=0.031, precip=1.050, T=7.000
Iter 2: loss=0.028, precip=1.097, T=7.000
Iter 3: loss=0.025, precip=1.133, T=7.000
Iter 4: loss=0.023, precip=1.174, T=7.000
Iter 5: loss=0.020, precip=1.202, T=7.000
Iter 6: loss=0.018, precip=1.226, T=7.000
Iter 7: loss=0.017, precip=1.253, T=7.000
Iter 8: loss=0.015, precip=1.277, T=7.000
Iter 9: loss=0.013, precip=1.299, T=7.000
Iter 10: loss=0.012, precip=1.319, T=7.000
Iter 11: loss=0.010, precip=1.337, T=7.000
Iter 12: loss=0.009, precip=1.353, T=7.000
Iter 13: loss=0.009, precip=1.367, T=7.000
Iter 14: loss=0.008, precip=1.380, T=7.000
Iter 15: loss=0.007, precip=1.392, T=7.000
Iter 16: loss=0.006, precip=1.416, T=7.000
Iter 17: loss=0.005, precip=1.443, T=7.000
Iter 18: loss=0.004, precip=1.468, T=7.000
Iter 19: loss=0.002, precip=1.490, T=7.000
Iter 20: loss=0.000, precip=1.511, T=7.000
Iter 21: loss=0.001, precip=1.524, T=7.000
Iter 22: loss=0.001, precip=1.535, T=7.000
