Iter 1: loss=0.030, precip=1.950, T=7.000
Iter 2: loss=0.027, precip=1.916, T=7.000
Iter 3: loss=0.025, precip=1.878, T=7.000
Iter 4: loss=0.022, precip=1.836, T=7.000
Iter 5: loss=0.020, precip=1.799, T=7.000
Iter 6: loss=0.018, precip=1.768, T=7.000
Iter 7: loss=0.016, precip=1.741, T=7.000
Iter 8: loss=0.014, precip=1.711, T=7.000
Iter 9: loss=0.012, precip=1.680, T=7.000
Iter 10: loss=0.010, precip=1.652, T=7.000
Iter 11: loss=0.009, precip=1.627, T=7.000
Iter 12: loss=0.008, precip=1.601, T=7.000
Iter 13: loss=0.006, precip=1.578, T=7.000
Iter 14: loss=0.005, precip=1.555, T=7.000
Iter 15: loss=0.004, precip=1.534, T=7.000
Iter 16: loss=0.002, precip=1.515, T=7.000
Iter 17: loss=0.001, precip=1.498, T=7.000
Iter 18: loss=0.000, precip=1.489, T=7.000
Iter 19: loss=0.001, precip=1.481, T=7.000
Iter 20: loss=0.001, precip=1.474, T=7.000
Iter 21: loss=0.002, precip=1.468, T=7.000
Iter 22: loss=0.002, precip=1.462, T=7.000
Iter 23: loss=0.002, precip=1.486, T=7.000
Iter 24: loss=0.001, precip=1.509, T=7.000
Iter 25: loss=0.001, precip=1.529, T=7.000
Iter 26: loss=0.002, precip=1.547, T=7.000
Iter 27: loss=0.003, precip=1.564, T=7.000
Iter 28: loss=0.004, precip=1.579, T=7.000
Iter 29: loss=0.005, precip=1.593, T=7.000
Iter 30: loss=0.006, precip=1.605, T=7.000
Iter 31: loss=0.007, precip=1.608, T=7.000
Iter 32: loss=0.007, precip=1.608, T=7.000
Iter 33: loss=0.007, precip=1.608, T=7.000
Iter 34: loss=0.007, precip=1.605, T=7.000
Iter 35: loss=0.007, precip=1.603, T=7.000
Iter 36: loss=0.006, precip=1.602, T=7.000
Iter 37: loss=0.006, precip=1.600, T=7.000
Iter 38: loss=0.006, precip=1.598, T=7.000
Iter 39: loss=0.006, precip=1.597, T=7.000
Iter 40: loss=0.006, precip=1.596, T=7.000
Iter 41: loss=0.006, precip=1.594, T=7.000
Iter 42: loss=0.006, precip=1.593, T=7.000
Iter 43: loss=0.006, precip=1.591, T=7.000
Iter 44: loss=0.006, precip=1.579, T=7.000
Iter 45: loss=0.005, precip=1.569, T=7.000
Iter 46: loss=0.005, precip=1.559, T=7.000
Iter 47: loss=0.004, precip=1.550, T=7.000
Iter 48: loss=0.003, precip=1.542, T=7.000
Iter 49: loss=0.003, precip=1.531, T=7.000
Iter 50: loss=0.002, precip=1.520, T=7.000
Iter 51: loss=0.001, precip=1.510, T=7.000
Iter 52: loss=0.001, precip=1.500, T=7.000
Iter 53: loss=0.000, precip=1.492, T=7.000
Iter 54: loss=0.001, precip=1.484, T=7.000
Iter 55: loss=0.001, precip=1.478, T=7.000
Iter 56: loss=0.002, precip=1.474, T=7.000
Iter 57: loss=0.002, precip=1.469, T=7.000
Iter 58: loss=0.002, precip=1.471, T=7.000
Iter 59: loss=0.002, precip=1.487, T=7.000
Iter 60: loss=0.001, precip=1.501, T=7.000
Iter 61: loss=0.000, precip=1.514, T=7.000
Iter 62: loss=0.001, precip=1.525, T=7.000
Iter 63: loss=0.002, precip=1.536, T=7.000
Iter 64: loss=0.002, precip=1.545, T=7.000
Iter 65: loss=0.003, precip=1.539, T=7.000
Iter 66: loss=0.003, precip=1.530, T=7.000
Iter 67: loss=0.002, precip=1.518, T=7.000
Iter 68: loss=0.001, precip=1.508, T=7.000
Iter 69: loss=0.001, precip=1.498, T=7.000
Iter 70: loss=0.000, precip=1.490, T=7.000
Iter 71: loss=0.001, precip=1.482, T=7.000
Iter 72: loss=0.001, precip=1.478, T=7.000
Iter 73: loss=0.002, precip=1.473, T=7.000
Iter 74: loss=0.002, precip=1.470, T=7.000
Iter 75: loss=0.002, precip=1.469, T=7.000
Iter 76: loss=0.002, precip=1.469, T=7.000
Iter 77: loss=0.002, precip=1.471, T=7.000
Iter 78: loss=0.002, precip=1.474, T=7.000
Iter 79: loss=0.002, precip=1.476, T=7.000
Iter 80: loss=0.002, precip=1.484, T=7.000
Iter 81: loss=0.001, precip=1.498, T=7.000
Iter 82: loss=0.000, precip=1.510, T=7.000
Iter 83: loss=0.001, precip=1.521, T=7.000
Iter 84: loss=0.001, precip=1.532, T=7.000
Iter 85: loss=0.002, precip=1.541, T=7.000
Iter 86: loss=0.003, precip=1.549, T=7.000
Iter 87: loss=0.003, precip=1.556, T=7.000
Iter 88: loss=0.004, precip=1.557, T=7.000
Iter 89: loss=0.004, precip=1.556, T=7.000
Iter 90: loss=0.004, precip=1.554, T=7.000
Iter 91: loss=0.004, precip=1.549, T=7.000
Iter 92: loss=0.003, precip=1.545, T=7.000
Iter 93: loss=0.003, precip=1.527, T=7.000
Iter 94: loss=0.002, precip=1.510, T=7.000
Iter 95: loss=0.001, precip=1.495, T=7.000
Iter 96: loss=0.000, precip=1.481, T=7.000
Iter 97: loss=0.001, precip=1.469, T=7.000
Iter 98: loss=0.002, precip=1.464, T=7.000
Iter 99: loss=0.002, precip=1.459, T=7.000
Iter 100: loss=0.003, precip=1.454, T=7.000
